key	value
schema	grug_wp40_t2_cb1_measurement_v1
base_commit	64592fe24e092997bf676cc2e245ff9181b5ae93
base_tree	3e6fa09835193862d498d17fb1ff2dd749573ad2
source_catalog_sha256	71fa6ef177940ff228b247df4b5f736cb06cde8feaa1183a9fd59cbb060e6b40
canonical_sha256	28022454cadac7aba838873c955ce4ab5c96ff995efef2bc729490b309935716
deterministic_sha256	ddf478e4fc0714a0551325e88550ef900e86e318091e11938b82ab51542275e9
exact_sha256	191985c6003c5d1a149c959ea63ebfae60d8b536f29357a72ccbc6dd5c23e051
raster_sha256	72bf889e7ce22508f6e4d3eba20263d5d9d901f7b1865e1dc006065118c929ea
relief_sha256	776d68e30d2202acabd83eee5ec99a102088fb15f3fc7aee7a48bcafaa53dbeb
winner_gate_sha256	e14f0d90da3a90580cd226a1deec8db544e7e6204141031f6ac4b04755838ddb
world_zones_design_sha256	75cc7d993ff064ec03ab135424d8abc28d6f1c41ec4cfa41f4d7822383af6fc5
pre_ca2	true
interpreter_strategy	LuaJIT_measurement_plus_full_targeted_PUC51_byte_parity
dual_runtime_comparison	seven_deterministic_artifacts_byte_identical_required_and_verified
seed_0	0
winner_2192_seed	5270046902118333881
winner_1713_seed	16178445837170081103
winner_1047_seed	15219119262482319357
winner_3438_seed	17842018860885445630
final_owner_provider	unavailable_deferred_until_reviewed_ca2
final_H_provider	unavailable_deferred_until_reviewed_ca2
hydrology_mask_implementation	unavailable_route_reach_claims_are_exact_centreline_only
h_composition_scope	raw_plus_landmarks_only_no_shared_edge_G_or_junction_blend
profile_claim	raw_and_unclipped_local_diagnostics_not_final_acceptance
route_reach_scope	57_mainland_plus_8_island_exact_authored_segment_intersections
h1_status	literal_and_symmetric_seven_delta_variants_measured_no_ruling
top_level_case_unit	one_route_seed_or_one_route_or_one_reach_with_bounded_inner_checks
sha_calls	4885
sha_misses	4885
