row_type	reach_id	interface_id	interface_kind	station_id	zone_id	profile_id	landmark_id	zone_primary_profile_id	landmark_secondary_profile_id	from_id	to_id	start_x	start_z	finish_x	finish_z	delta_x	delta_z	W	depth	zone_band_low	zone_band_high	W_minus_band_low	band_high_minus_W	upper_W	lower_W	landmark_band_low	landmark_band_high	W_minus_landmark_band_low	landmark_band_high_minus_W	declared_drop	W_drop	direction_status	direction_conflict	direction_expected_axis	direction_expected_sign	direction_authority	proven_inside_closed_mask	matching_segment_index	interpolated_half_width	water_status	proof_scope	final_owner_status	final_H_status
interface	hydro_broken_marsh	broken_aqueduct_water	bridge									-1500	-125																												source_graph_literals		
interface	hydro_broken_marsh	broken_causeway_water	causeway									-375	-250																												source_graph_literals		
interface	hydro_broken_marsh	broken_ford_water	ford									-1125	250																												source_graph_literals		
interface	hydro_highcourt_outflow	highcourt_fork_join	confluence									0	-1320																												source_graph_literals		
interface	hydro_raincall_headwater	raincall_upper_rapid	rapid									1960	2140											73	69					4	4										source_graph_literals		
interface	hydro_raincall_middle_lip	raincall_lower_fall	waterfall									2050	1990											53	45					8	8										source_graph_literals		
interface	hydro_raincall_middle_upper	raincall_middle_rapid	rapid									2020	2040											57	53					4	4										source_graph_literals		
interface	hydro_raincall_upper_lip	raincall_upper_fall	waterfall									1990	2090											69	57					12	12										source_graph_literals		
interface	hydro_whitebridge_ford	whitebridge_ford_water	ford									-900	-1100																												source_graph_literals		
interface	hydro_whitebridge_main	whitebridge_bridge_water	bridge									-400	-1500																												source_graph_literals		
reach	hydro_broken_marsh				front_broken_causeway	ordinary_lake	broken_marsh	wetland_delta	wetland_delta	broken_marsh_inflow	broken_marsh_outflow	-1125	250	-375	-250	750	-500	9	8	3	25	6	16			3	25	6	16			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_copperfell_streams				elandor_copperfell_foothills	stream	copperfell_drainage	rolling_hills	highland	copperfell_spring	copperfell_sink	-2114	-2050	-1986	-2050	128	0	19	2	25	97	-6	78			97	225	-78	206			contradicts_design_expected_flow	true	x	-1	world_zones_8_4_inland_spurs_to_west_coast						unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_dawnmere_headwaters				elandor_dawnmere_fields	spring	dawnmere_headwaters	lowland	wetland_delta	dawnmere_spring	dawnmere_outflow	-64	-2500	64	-2500	128	0	13	2	9	57	4	44			3	25	10	12			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_frostbarrow_tarns				elandor_frostbarrow_shelf	shallow_pond	frostbarrow_tarns	plateau	plateau	frostbarrow_inflow	frostbarrow_basin	-2414	-1740	-2286	-1740	128	0	63	2	57	145	6	82			57	145	6	82			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
