route_id	seed	winner_index	side	zone_id	sample_station_index	x	z	crossing_station_index	gate_low	gate_high	local_transition_capacity	local_bridgeable_delta	raw_h	raw_optimistic_margin	raw_pessimistic_margin	unclipped_all_landmarks_h	unclipped_all_optimistic_margin	unclipped_all_pessimistic_margin	authored_zone_landmarks_h	authored_zone_optimistic_margin	authored_zone_pessimistic_margin	claim_scope	gate_value_scope
route_001	0	0	a	elandor_hearthpine_vale	216	-1879	-2271	312	25	57	7	21	30	21	-6	56	21	-10	28	21	-8	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_001	0	0	b	elandor_copperfell_foothills	408	-2071	-2079	312	25	57	8	22	60	19	-13	155	-76	-108	155	-76	-108	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_001	5270046902118333881	2192	a	elandor_hearthpine_vale	216	-1879	-2271	312	25	57	7	21	28	21	-8	57	21	-11	27	21	-9	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_001	5270046902118333881	2192	b	elandor_copperfell_foothills	408	-2071	-2079	312	25	57	8	22	50	22	-3	145	-66	-98	145	-66	-98	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_001	16178445837170081103	1713	a	elandor_hearthpine_vale	216	-1879	-2271	312	25	57	7	21	46	21	0	67	11	-21	39	21	3	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_001	16178445837170081103	1713	b	elandor_copperfell_foothills	408	-2071	-2079	312	25	57	8	22	47	22	0	155	-76	-108	155	-76	-108	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_001	15219119262482319357	1047	a	elandor_hearthpine_vale	216	-1879	-2271	312	25	57	7	21	30	21	-6	51	21	-5	28	21	-8	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_001	15219119262482319357	1047	b	elandor_copperfell_foothills	408	-2071	-2079	312	25	57	8	22	58	21	-11	121	-42	-74	121	-42	-74	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_001	17842018860885445630	3438	a	elandor_hearthpine_vale	216	-1879	-2271	312	25	57	7	21	35	21	-1	58	20	-12	35	21	-1	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_001	17842018860885445630	3438	b	elandor_copperfell_foothills	408	-2071	-2079	312	25	57	8	22	77	2	-30	121	-42	-74	121	-42	-74	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_002	0	0	a	elandor_copperfell_foothills	55	-1800	-1996	151	57	97	7	21	75	21	-1	75	21	-1	75	21	-1	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_002	0	0	b	elandor_dur_brannoc	247	-1800	-1804	151	57	97	8	22	112	7	-33	105	14	-26	105	14	-26	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_002	5270046902118333881	2192	a	elandor_copperfell_foothills	55	-1800	-1996	151	57	97	7	21	47	11	-29	47	11	-29	47	11	-29	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_002	5270046902118333881	2192	b	elandor_dur_brannoc	247	-1800	-1804	151	57	97	8	22	123	-4	-44	85	22	-6	85	22	-6	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_002	16178445837170081103	1713	a	elandor_copperfell_foothills	55	-1800	-1996	151	57	97	7	21	58	21	-18	58	21	-18	58	21	-18	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_002	16178445837170081103	1713	b	elandor_dur_brannoc	247	-1800	-1804	151	57	97	8	22	82	22	-3	90	22	-11	90	22	-11	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_002	15219119262482319357	1047	a	elandor_copperfell_foothills	55	-1800	-1996	151	57	97	7	21	54	18	-22	54	18	-22	54	18	-22	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_002	15219119262482319357	1047	b	elandor_dur_brannoc	247	-1800	-1804	151	57	97	8	22	101	18	-22	93	22	-14	93	22	-14	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_002	17842018860885445630	3438	a	elandor_copperfell_foothills	55	-1800	-1996	151	57	97	7	21	78	21	0	78	21	0	78	21	0	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_002	17842018860885445630	3438	b	elandor_dur_brannoc	247	-1800	-1804	151	57	97	8	22	119	0	-40	78	22	1	78	22	1	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_003	0	0	a	elandor_dur_brannoc	49	-1800	-1196	145	97	145	7	21	87	11	-37	80	4	-44	80	4	-44	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_003	0	0	b	elandor_stormvault_heights	241	-1800	-1004	145	97	145	8	22	139	22	-20	139	22	-20	139	22	-20	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_003	5270046902118333881	2192	a	elandor_dur_brannoc	49	-1800	-1196	145	97	145	7	21	98	21	-26	76	0	-48	76	0	-48	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_003	5270046902118333881	2192	b	elandor_stormvault_heights	241	-1800	-1004	145	97	145	8	22	161	6	-42	161	6	-42	161	6	-42	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_003	16178445837170081103	1713	a	elandor_dur_brannoc	49	-1800	-1196	145	97	145	7	21	96	20	-28	104	21	-20	104	21	-20	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_003	16178445837170081103	1713	b	elandor_stormvault_heights	241	-1800	-1004	145	97	145	8	22	191	-24	-72	191	-24	-72	191	-24	-72	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_003	15219119262482319357	1047	a	elandor_dur_brannoc	49	-1800	-1196	145	97	145	7	21	102	21	-22	115	21	-9	115	21	-9	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_003	15219119262482319357	1047	b	elandor_stormvault_heights	241	-1800	-1004	145	97	145	8	22	142	22	-23	142	22	-23	142	22	-23	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_003	17842018860885445630	3438	a	elandor_dur_brannoc	49	-1800	-1196	145	97	145	7	21	72	-4	-52	78	2	-46	78	2	-46	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_003	17842018860885445630	3438	b	elandor_stormvault_heights	241	-1800	-1004	145	97	145	8	22	141	22	-22	141	22	-22	141	22	-22	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_004	0	0	a	elandor_dawnmere_fields	246	-79	-2241	342	9	57	7	21	31	21	-5	12	21	-24	31	21	-5	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_004	0	0	b	elandor_goldmead_vale	438	-271	-2049	342	9	57	8	22	42	22	-11	60	19	-29	60	19	-29	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
route_004	5270046902118333881	2192	a	elandor_dawnmere_fields	246	-79	-2241	342	9	57	7	21	27	21	-9	26	21	-10	27	21	-9	raw_plus_landmarks_no_edge_G_or_junction_not_final_H	authored_range_actual_hash_G_unavailable
