schema	grug_r9_map_c_emerge_wall_clock_v1
metric	before_us	after_us	delta_us	ratio
measured_elapsed_us	69638153	99275939	29637786	1.425594
callback_total_us	53159000	84391700	31232700	1.587532
plan_us	32158183	33612638	1454455	1.045228
writer_us	21000817	50779062	29778245	2.418900
bulk_measured_elapsed_us	68020996	108893340	40872344	1.600878
bulk_callback_total_us	52073722	93663129	41589407	1.798664
bulk_plan_us	31413515	35557871	4144356	1.131929
bulk_writer_us	20660207	58105258	37445051	2.812424
plateau=128/measured_elapsed_us	68020996	87796218	19775222	1.290722
plateau=128/callback_total_us	52073722	72198501	20124779	1.386467
plateau=128/plan_us	31413515	32177443	763928	1.024318
plateau=128/writer_us	20660207	40021058	19360851	1.937108
plateau=200/measured_elapsed_us	68020996	115999901	47978905	1.705354
plateau=200/callback_total_us	52073722	101497115	49423393	1.949104
plateau=200/plan_us	31413515	32925001	1511486	1.048116
plateau=200/writer_us	20660207	68572114	47911907	3.319043
ruling35/measured_elapsed_us	68020996	78916001	10895005	1.160171
ruling35/callback_total_us	52073722	62054499	9980777	1.191666
ruling35/plan_us	31413515	35040422	3626907	1.115457
ruling35/writer_us	20660207	27014077	6353870	1.307541
feature_off=surface_skin/measured_elapsed_us	68020996	83284404	15263408	1.224393
feature_off=surface_skin/callback_total_us	52073722	66595745	14522023	1.278874
feature_off=surface_skin/plan_us	31413515	35865706	4452191	1.141729
feature_off=surface_skin/writer_us	20660207	30730039	10069832	1.487402
feature_off=coast_band/measured_elapsed_us	68020996	66466700	-1554296	0.977150
feature_off=coast_band/callback_total_us	52073722	50329807	-1743915	0.966511
feature_off=coast_band/plan_us	31413515	23242699	-8170816	0.739895
feature_off=coast_band/writer_us	20660207	27087108	6426901	1.311076
feature_off=anchor_grade_preservation/measured_elapsed_us	68020996	74366715	6345719	1.093291
feature_off=anchor_grade_preservation/callback_total_us	52073722	57965277	5891555	1.113139
feature_off=anchor_grade_preservation/plan_us	31413515	32707950	1294435	1.041206
feature_off=anchor_grade_preservation/writer_us	20660207	25257327	4597120	1.222511
