capital	label	old_sha256	fixed_sha256	cells	frozen_gate_match
highcourt	rampart	956c8cb3957ccf31b15027cf6a8f37704a261c8425a60163c3292ae2ce49a261	956c8cb3957ccf31b15027cf6a8f37704a261c8425a60163c3292ae2ce49a261	9063	False
highcourt	corner	44adce1519f359dafc855b7edaf506c0c7d55e62cfecbc96e54cf561a306d11d	44adce1519f359dafc855b7edaf506c0c7d55e62cfecbc96e54cf561a306d11d	7378	True
highcourt	gate	038dd1e62688766e8e1e5902f91da27e9b4837b36a8a09c8ff6d0dc576eae859	038dd1e62688766e8e1e5902f91da27e9b4837b36a8a09c8ff6d0dc576eae859	2505	True
dur_brannoc	rampart	12224311223a176ae1eff1835dd40dffb21650f8862adc99261ef04b4a82bcad	12224311223a176ae1eff1835dd40dffb21650f8862adc99261ef04b4a82bcad	9019	True
dur_brannoc	corner	4677e70bc5fa75180a3e3f1df975e2042ab152a89a7b2fc53c700ed9a8246133	4677e70bc5fa75180a3e3f1df975e2042ab152a89a7b2fc53c700ed9a8246133	7055	True
dur_brannoc	gate	10eb9cbf61febbdbb0b1efa683cd629cd0465f790b25a5df44f0c8eabfe9fddc	10eb9cbf61febbdbb0b1efa683cd629cd0465f790b25a5df44f0c8eabfe9fddc	2496	True
gor_drazhak	rampart	4975eea919cef29e6d5e27f111f39ad29b9e3f0371e39d500efe5ba4e27c4854	4975eea919cef29e6d5e27f111f39ad29b9e3f0371e39d500efe5ba4e27c4854	10580	False
gor_drazhak	corner	af7b296f19f24b178d20d3886470ae23946d888809a7620459eec62f7d141bd3	af7b296f19f24b178d20d3886470ae23946d888809a7620459eec62f7d141bd3	7752	False
gor_drazhak	gate	be849e63731c737cf531bc1b2c8fdac265a2c18f342804cc25dae1a34148895f	be849e63731c737cf531bc1b2c8fdac265a2c18f342804cc25dae1a34148895f	2832	True
nhal_veyr	rampart	317799719955dcd8903c35429d7d375675a6bfbf28166468e99522f2077e652a	317799719955dcd8903c35429d7d375675a6bfbf28166468e99522f2077e652a	9066	True
nhal_veyr	corner	1de2189a4a37f4737bf910060bcf7e55097af44177c9a0fc77c239c213e2067f	1de2189a4a37f4737bf910060bcf7e55097af44177c9a0fc77c239c213e2067f	8039	True
nhal_veyr	gate	46a73b86f858cbf19de55975ad8c2dac9f280d3a08568a9124bf4e1cacae9cf9	46a73b86f858cbf19de55975ad8c2dac9f280d3a08568a9124bf4e1cacae9cf9	2539	True
