seed	8675309
construction_seconds	6.786
start	anchor	row_offset	min_x	max_x	count	holes	feature
hearthpine	anchor_001	56	-62	-53	10	0	route_001
hearthpine	anchor_001	64	-70	-61	10	0	route_001
hearthpine	anchor_001	72	-79	-70	10	0	route_001
hearthpine	anchor_001	80	-87	-78	10	0	route_001
hearthpine	anchor_001	88	-95	-86	10	0	route_001
hearthpine	anchor_001	96	-103	-94	10	0	route_001
hearthpine	anchor_001	104	-110	-103	8	0	route_001
hearthpine	anchor_001	112	-114	-107	8	0	route_001
hearthpine	anchor_001	120	-117	-111	7	0	route_001
hearthpine	anchor_001	128	-126	-109	18	0	route_001
hearthpine	anchor_001	136	-130	-113	18	0	route_001
hearthpine	anchor_001	144	-134	-117	18	0	route_001
hearthpine	anchor_001	152	-137	-121	17	0	route_001
hearthpine	anchor_001	160	-141	-125	17	0	route_001
dawnmere	anchor_002	56	-7	-1	7	0	route_004
dawnmere	anchor_002	64	-7	-1	7	0	route_004
dawnmere	anchor_002	72	-8	-2	7	0	route_004
dawnmere	anchor_002	80	-8	-2	7	0	route_004
dawnmere	anchor_002	88	-9	-3	7	0	route_004
dawnmere	anchor_002	96	-9	-3	7	0	route_004
dawnmere	anchor_002	104	-10	-4	7	0	route_004
dawnmere	anchor_002	112	-10	-4	7	0	route_004
dawnmere	anchor_002	120	-11	-5	7	0	route_004
dawnmere	anchor_002	128	-16	-1	16	0	route_004
dawnmere	anchor_002	136	-16	-1	16	0	route_004
dawnmere	anchor_002	144	-17	-2	16	0	route_004
dawnmere	anchor_002	152	-17	-2	16	0	route_004
dawnmere	anchor_002	160	-20	-4	17	0	route_004
silverleaf	anchor_003	56	57	66	10	0	route_007
silverleaf	anchor_003	64	65	75	11	0	route_007
silverleaf	anchor_003	72	74	83	10	0	route_007
silverleaf	anchor_003	80	83	92	10	0	route_007
silverleaf	anchor_003	88	91	101	11	0	route_007
silverleaf	anchor_003	96	100	109	10	0	route_007
silverleaf	anchor_003	104	106	113	8	0	route_007
silverleaf	anchor_003	112	110	117	8	0	route_007
silverleaf	anchor_003	120	114	126	9	4	route_007
silverleaf	anchor_003	128	113	130	18	0	route_007
silverleaf	anchor_003	136	117	134	18	0	route_007
silverleaf	anchor_003	144	121	138	18	0	route_007
silverleaf	anchor_003	152	125	141	17	0	route_007
silverleaf	anchor_003	160	129	145	17	0	route_007
stillgrave	anchor_004	56	-64	-55	10	0	route_010
stillgrave	anchor_004	64	-72	-63	10	0	route_010
stillgrave	anchor_004	72	-81	-72	10	0	route_010
stillgrave	anchor_004	80	-89	-80	10	0	route_010
stillgrave	anchor_004	88	-98	-89	10	0	route_010
stillgrave	anchor_004	96	-106	-97	10	0	route_010
stillgrave	anchor_004	104	-112	-106	7	0	route_010
stillgrave	anchor_004	112	-116	-109	8	0	route_010
stillgrave	anchor_004	120	-120	-113	8	0	route_010
stillgrave	anchor_004	128	-129	-112	18	0	route_010
stillgrave	anchor_004	136	-133	-116	18	0	route_010
stillgrave	anchor_004	144	-137	-120	18	0	route_010
stillgrave	anchor_004	152	-140	-124	17	0	route_010
stillgrave	anchor_004	160	-144	-127	18	0	route_010
sunscar	anchor_005	56	-59	-51	9	0	route_013
sunscar	anchor_005	64	-67	-58	10	0	route_013
sunscar	anchor_005	72	-75	-66	10	0	route_013
sunscar	anchor_005	80	-83	-74	10	0	route_013
sunscar	anchor_005	88	-91	-82	10	0	route_013
sunscar	anchor_005	96	-99	-90	10	0	route_013
sunscar	anchor_005	104	-107	-98	10	0	route_013
sunscar	anchor_005	112	-112	-106	7	0	route_013
sunscar	anchor_005	120	-116	-109	8	0	route_013
sunscar	anchor_005	128	-125	-108	18	0	route_013
sunscar	anchor_005	136	-128	-112	17	0	route_013
sunscar	anchor_005	144	-132	-115	18	0	route_013
sunscar	anchor_005	152	-136	-119	18	0	route_013
sunscar	anchor_005	160	-139	-123	17	0	route_013
kapok	anchor_006	56	2	8	7	0	route_016
kapok	anchor_006	64	2	8	7	0	route_016
kapok	anchor_006	72	3	9	7	0	route_016
kapok	anchor_006	80	3	9	7	0	route_016
kapok	anchor_006	88	4	10	7	0	route_016
kapok	anchor_006	96	5	11	7	0	route_016
kapok	anchor_006	104	5	11	7	0	route_016
kapok	anchor_006	112	6	12	7	0	route_016
kapok	anchor_006	120	7	13	7	0	route_016
kapok	anchor_006	128	3	18	16	0	route_016
kapok	anchor_006	136	4	19	16	0	route_016
kapok	anchor_006	144	4	19	16	0	route_016
kapok	anchor_006	152	6	22	17	0	route_016
kapok	anchor_006	160	9	26	18	0	route_016
