invariant	before	after	result
landmark_overlap_rule	highest_priority_replace_profile	compose_all_strictly_positive_Q16_collars	expected_move
landmark_priority_order	greater_integer_priority_wins	ascending_base_h_priority_higher_applied_last	expected_move
landmark_evaluation_stage_2	highest_priority_landmark_replacement_and_64_node_blend	all_positive_landmark_collars_qlerp_previous_H_to_replacement_H	expected_move
landmark_replacement_rule	highest_priority_replace_profile_height	qlerp_previous_H_to_replacement_profile_height_by_own_positive_collar_weight	expected_move
source_checksum	f4a7e41605b3defe068095424a4b99e78e657ae508d1ef07e5b3c6bb36884558	87540c49d629eb81164c18e906c23cabbe03eddb429f7ba647c60b650951cd6e	expected_move
landmark_masks_checksum	99535a1033607d7f0b327bbce859d2e578d8b42ddc76cc2cb8a80dbdaa385f1e	1a34cefb67cefdb25886eb3ebfa6977b63c3e543cddfa793c4a4e27c890334b9	expected_move
pcc_source_fixture_sha256	4ec101c83c3e3945936d2d365a2013ac5f07742729363681b0b21b2e31a6fb95	526b46c1190cf889ea00b646737a3ac4f4591a17f0b2bde26f88755a8c950253	expected_move
pcc_fixture_manifest_sha256	544bdf915e97f13ee2df6a1c6d31c4d74942f0f1e47f100c14302b222c3bacee	9e5f1ac480c0b7df8cca3dba1dd74ba31d309f309d8041c86dff08e5860375bd	expected_move
authored_fixture_source_checksum	f4a7e41605b3defe068095424a4b99e78e657ae508d1ef07e5b3c6bb36884558	87540c49d629eb81164c18e906c23cabbe03eddb429f7ba647c60b650951cd6e	expected_source_pin_rebind
extreme_prerequisite_source_checksum	f4a7e41605b3defe068095424a4b99e78e657ae508d1ef07e5b3c6bb36884558	87540c49d629eb81164c18e906c23cabbe03eddb429f7ba647c60b650951cd6e	expected_source_pin_rebind
extreme_prerequisite_partition_sha256	40a1745379ff096eaa1d9d4634716aee6601f62fe8505a160dd551a77b63aa10	e12f4f1b48a0cda79c9ac61b2de6299d9491fd185491f95b4d9c644ed2a599a3	accepted_historical_pin_catchup
extreme_seed0_compiled_sha256	5fb0c7345b05775060bf7f647b2ae19dda65f2403c45c29ed3562a297f866ab8	841f8a115ff1eb777eb711498b7628e91ef238c5c75308fd8f1adb07e52d2f5d	accepted_ownership_schema_rebind
extreme_max_u64_compiled_sha256	852d0a32ee7730c32d17c23f231598a4f7a30e5035cd8a343e3a6bde0c447d95	df08c6983a30dc344b1707c35e64c9728d4a2c5bfaca4bf37bdb04c8c6f3b3ac	accepted_ownership_schema_rebind
extreme_seed0_legacy_ownership_projection	5fb0c7345b05775060bf7f647b2ae19dda65f2403c45c29ed3562a297f866ab8	5fb0c7345b05775060bf7f647b2ae19dda65f2403c45c29ed3562a297f866ab8	byte_identical_after_removing_only_accepted_ownership_fields
extreme_max_u64_legacy_ownership_projection	852d0a32ee7730c32d17c23f231598a4f7a30e5035cd8a343e3a6bde0c447d95	852d0a32ee7730c32d17c23f231598a4f7a30e5035cd8a343e3a6bde0c447d95	byte_identical_after_removing_only_accepted_ownership_fields
boundary_displacement_checksum	ed1cd5440d713e69d7dc913626490ae8c0af43e30a825ad9a81fcb6e13a60d2d	ed1cd5440d713e69d7dc913626490ae8c0af43e30a825ad9a81fcb6e13a60d2d	unchanged
world_partition_checksum	528c03e32662924887ea89a8ef39ef9e95c039af2e6bdcd333aabef11d54fc70	528c03e32662924887ea89a8ef39ef9e95c039af2e6bdcd333aabef11d54fc70	unchanged
s1_source_projection	83b1b16a8afd11af654b5dd3e1d9921006848a0903e7b0c01ab39b27edddd652	83b1b16a8afd11af654b5dd3e1d9921006848a0903e7b0c01ab39b27edddd652	unchanged
s1_authority	10a790a6436a740efc83e98afe3c374ac4b3520bb425de3d2bd0ac76622db37c	10a790a6436a740efc83e98afe3c374ac4b3520bb425de3d2bd0ac76622db37c	unchanged
s1_lock_blobs	6	6	byte_identical
extreme_non_prerequisite_files	71:5b20daae504c54a629ef7ea71890c5f61d09849dd43dd2b9be8053848aef1a9f	71:5b20daae504c54a629ef7ea71890c5f61d09849dd43dd2b9be8053848aef1a9f	byte_identical
candidate_artifact_sha256	5b5241b35ea036ea08c7128b4900fa578dbe134b28b5cf8a99767290e155e027	5b5241b35ea036ea08c7128b4900fa578dbe134b28b5cf8a99767290e155e027	unchanged
candidate_rows_sha256	b08e142a16da23f5b7f07c3ec2e6f894705130d1d72fe409998fb5f028deada3	b08e142a16da23f5b7f07c3ec2e6f894705130d1d72fe409998fb5f028deada3	unchanged
winner_slots	28:2192,29:1713,30:1047,31:3438	28:2192,29:1713,30:1047,31:3438	unchanged
partition_geometry_files	0 changed	0 changed	unchanged
compiled_schema_or_roster	0 changed	0 changed	unchanged
submodule_pins	9 clean	9 clean	unchanged
historical_t2_fields_manifest	immutable_tested_tree	immutable_tested_tree	not_rebound_current_reproduction_recorded_here
historical_engineering_brief_live_pin_wording	inherited_cosmetic	inherited_cosmetic	left_historical_section_14_8_is_current_authority
