line	p	lane	x	z	terrain_y	water
west	-264	-3	-259	-264	121	false
west	-264	-2	-258	-264	121	false
west	-264	-1	-257	-264	121	false
west	-264	0	-256	-264	121	false
west	-264	1	-255	-264	121	false
west	-264	2	-254	-264	121	false
west	-264	3	-253	-264	121	false
west	-263	-3	-259	-263	121	false
west	-263	-2	-258	-263	121	false
west	-263	-1	-257	-263	121	false
west	-263	0	-256	-263	121	false
west	-263	1	-255	-263	121	false
west	-263	2	-254	-263	121	false
west	-263	3	-253	-263	121	false
west	-262	-3	-259	-262	121	false
west	-262	-2	-258	-262	121	false
west	-262	-1	-257	-262	121	false
west	-262	0	-256	-262	121	false
west	-262	1	-255	-262	121	false
west	-262	2	-254	-262	121	false
west	-262	3	-253	-262	121	false
west	-261	-3	-259	-261	121	false
west	-261	-2	-258	-261	121	false
west	-261	-1	-257	-261	121	false
west	-261	0	-256	-261	121	false
west	-261	1	-255	-261	121	false
west	-261	2	-254	-261	121	false
west	-261	3	-253	-261	121	false
west	-260	-3	-259	-260	120	false
west	-260	-2	-258	-260	120	false
west	-260	-1	-257	-260	121	false
west	-260	0	-256	-260	121	false
west	-260	1	-255	-260	121	false
west	-260	2	-254	-260	121	false
west	-260	3	-253	-260	121	false
west	-259	-3	-259	-259	119	false
west	-259	-2	-258	-259	120	false
west	-259	-1	-257	-259	121	false
west	-259	0	-256	-259	121	false
west	-259	1	-255	-259	121	false
west	-259	2	-254	-259	121	false
west	-259	3	-253	-259	120	false
west	-258	-3	-259	-258	119	false
west	-258	-2	-258	-258	120	false
west	-258	-1	-257	-258	121	false
west	-258	0	-256	-258	121	false
west	-258	1	-255	-258	121	false
west	-258	2	-254	-258	120	false
west	-258	3	-253	-258	120	false
west	-257	-3	-259	-257	119	false
west	-257	-2	-258	-257	120	false
west	-257	-1	-257	-257	120	false
west	-257	0	-256	-257	121	false
west	-257	1	-255	-257	121	false
west	-257	2	-254	-257	120	false
west	-257	3	-253	-257	119	false
west	-256	-3	-259	-256	119	false
west	-256	-2	-258	-256	119	false
west	-256	-1	-257	-256	120	false
west	-256	0	-256	-256	121	false
