x	z	terrain_y	water
-288	-288	110	false
-284	-288	108	false
-280	-288	107	false
-276	-288	107	false
-272	-288	107	false
-268	-288	107	false
-264	-288	107	false
-260	-288	109	false
-256	-288	110	false
-252	-288	110	false
-248	-288	110	false
-244	-288	110	false
-240	-288	110	false
-236	-288	110	false
-232	-288	107	false
-228	-288	107	false
-224	-288	107	false
-220	-288	107	false
-216	-288	107	false
-212	-288	107	false
-208	-288	107	false
-204	-288	107	false
-200	-288	107	false
-196	-288	107	false
-192	-288	107	false
-188	-288	107	false
-184	-288	107	false
-180	-288	107	false
-176	-288	107	false
-172	-288	105	false
-168	-288	104	false
-164	-288	104	false
-160	-288	104	false
-156	-288	104	false
-152	-288	104	false
-148	-288	104	false
-144	-288	106	false
-140	-288	107	false
-136	-288	107	false
-132	-288	107	false
-128	-288	108	false
-124	-288	110	false
-120	-288	110	false
-116	-288	110	false
-112	-288	108	false
-108	-288	107	false
-104	-288	107	false
-100	-288	107	false
-96	-288	105	false
-92	-288	104	false
-88	-288	104	false
-84	-288	104	false
-80	-288	104	false
-76	-288	104	false
-72	-288	104	false
-68	-288	104	false
-64	-288	105	false
-60	-288	107	false
-56	-288	107	false
-52	-288	107	false
-48	-288	107	false
-44	-288	105	false
-40	-288	104	false
-36	-288	101	false
-32	-288	100	false
-28	-288	99	false
-24	-288	98	false
-20	-288	98	false
-16	-288	98	false
-12	-288	99	false
-8	-288	101	false
-4	-288	101	false
0	-288	101	false
4	-288	101	false
8	-288	103	false
12	-288	104	false
16	-288	104	false
20	-288	104	false
24	-288	104	false
28	-288	104	false
32	-288	105	false
36	-288	107	false
40	-288	107	false
44	-288	107	false
48	-288	107	false
52	-288	107	false
56	-288	106	false
60	-288	104	false
64	-288	104	false
68	-288	104	false
72	-288	104	false
76	-288	104	false
80	-288	104	false
84	-288	105	false
88	-288	107	false
92	-288	107	false
96	-288	109	false
100	-288	110	false
104	-288	110	false
108	-288	110	false
112	-288	110	false
116	-288	110	false
120	-288	112	false
124	-288	113	false
128	-288	113	false
132	-288	113	false
136	-288	113	false
140	-288	113	false
144	-288	113	false
148	-288	113	false
152	-288	111	false
156	-288	110	false
160	-288	110	false
164	-288	110	false
