capital	label	old_sha256	new_sha256	old_cells	new_cells	changed_coordinates	accepted_inner	prior_world	unexplained	status
highcourt	avenue	1d0e286828e26b0a86fb01fc15dde545831361ee9313518620e1bb621425eb89	7a1388161d18e3c485fa2ad464141b6bba46ea7589528a7dc479a9009269f508	4412	4432	863	522	341	0	attributed
highcourt	rampart	8118864bac90befe1c950eca9f5a8365e1c0a9d94466c6602feed65c8897ce27	956c8cb3957ccf31b15027cf6a8f37704a261c8425a60163c3292ae2ce49a261	9107	9063	267	0	267	0	attributed
highcourt	corner	44adce1519f359dafc855b7edaf506c0c7d55e62cfecbc96e54cf561a306d11d	44adce1519f359dafc855b7edaf506c0c7d55e62cfecbc96e54cf561a306d11d	7378	7378	0	0	0	0	match
highcourt	gate	038dd1e62688766e8e1e5902f91da27e9b4837b36a8a09c8ff6d0dc576eae859	038dd1e62688766e8e1e5902f91da27e9b4837b36a8a09c8ff6d0dc576eae859	2505	2505	0	0	0	0	match
dur_brannoc	avenue	1e35beca74df122d78cf8f2c2fb624e8564c28cfa730f56d31034d9bcf72c52b	1b23ee6f5fbfa34b72fc509d6b524ccbcb8b717225e99f3c30f4d761d807b4b1	4348	4354	430	430	0	0	attributed
dur_brannoc	rampart	12224311223a176ae1eff1835dd40dffb21650f8862adc99261ef04b4a82bcad	12224311223a176ae1eff1835dd40dffb21650f8862adc99261ef04b4a82bcad	9019	9019	0	0	0	0	match
dur_brannoc	corner	4677e70bc5fa75180a3e3f1df975e2042ab152a89a7b2fc53c700ed9a8246133	4677e70bc5fa75180a3e3f1df975e2042ab152a89a7b2fc53c700ed9a8246133	7055	7055	0	0	0	0	match
dur_brannoc	gate	10eb9cbf61febbdbb0b1efa683cd629cd0465f790b25a5df44f0c8eabfe9fddc	10eb9cbf61febbdbb0b1efa683cd629cd0465f790b25a5df44f0c8eabfe9fddc	2496	2496	0	0	0	0	match
gor_drazhak	avenue	b5d947a639e85d56a1de207474257d35cf5e14a0018513ce3b8e92c835bd7714	e8ab946fc119daf64290717d93cf599102c2dcebd818719e8e0a52d1cb9467b2	15549	15555	410	410	0	0	attributed
gor_drazhak	rampart	6a3d9219d83fa9b95c0ca3aaa3dff7bd665e4dc82e4e8ff6a8e2bdea6a477ac5	6a3d9219d83fa9b95c0ca3aaa3dff7bd665e4dc82e4e8ff6a8e2bdea6a477ac5	10685	10685	0	0	0	0	match
gor_drazhak	corner	9d30229d372804d2a87440b73f1da5cbe2b24345e9f9c3a4a43dcde32834b7a1	9d30229d372804d2a87440b73f1da5cbe2b24345e9f9c3a4a43dcde32834b7a1	10798	10798	0	0	0	0	match
gor_drazhak	gate	be849e63731c737cf531bc1b2c8fdac265a2c18f342804cc25dae1a34148895f	be849e63731c737cf531bc1b2c8fdac265a2c18f342804cc25dae1a34148895f	2832	2832	0	0	0	0	match
nhal_veyr	avenue	6a8a2158a82e96a8f648b0c62f7c91d2080303096bf9ad72fb24b48432f89966	f96abf249c26dec47684e5f9a58fc77cbabdfcea1732040f8ebc9a5e2bac4048	3960	3966	430	430	0	0	attributed
nhal_veyr	rampart	317799719955dcd8903c35429d7d375675a6bfbf28166468e99522f2077e652a	317799719955dcd8903c35429d7d375675a6bfbf28166468e99522f2077e652a	9066	9066	0	0	0	0	match
nhal_veyr	corner	1de2189a4a37f4737bf910060bcf7e55097af44177c9a0fc77c239c213e2067f	1de2189a4a37f4737bf910060bcf7e55097af44177c9a0fc77c239c213e2067f	8039	8039	0	0	0	0	match
nhal_veyr	gate	46a73b86f858cbf19de55975ad8c2dac9f280d3a08568a9124bf4e1cacae9cf9	46a73b86f858cbf19de55975ad8c2dac9f280d3a08568a9124bf4e1cacae9cf9	2539	2539	0	0	0	0	match
lethariel	avenue	a0d99054886bfb13cd7db3ed561f9261740d79810b2d2beda01e5c685a9e6f9c	f463f1ea9d8847618ba4b90a28d210afbc0735685172801ec521112c60f7b742	4887	4921	983	356	627	0	attributed
kezamba	avenue	d021d645432a42f41325188c542ff081856e1c9965f54681d9fd668ebba5635d	d3ebf22f2d3784654dd99584c5f08b093059b25f4402297d631ffd37c32811eb	2309	2327	533	60	473	0	attributed
