filename	bytes	sha256
conformance-puc-v3.tsv	4918	1edbb12a26a51f33b3a4267dff87bb1bb6d233f1aca8430e2e12be43f93aedc8
rescore-puc-v3-0000.tsv	1535	71d5e5757f2dc7ece98fb25822a3a227ddaef5a7deff11dae8121e01985f00ac
rescore-puc-v3-0511.tsv	1538	ee32d2940ef747e486eedd565c69f7720c8316f1f04e40daf85e31413627b473
rescore-puc-v3-0512.tsv	1538	0aa847bb25aa436a137a1435671075f7895d7e4b38947f57cbe9f465b40d4852
rescore-puc-v3-1023.tsv	1538	68c86d174ea1db5ed270553d7be4176809463fd727b9ee6bf47d9a7a36d030e5
rescore-puc-v3-1024.tsv	1539	3885a2e39264e044c4c87fda562cac92daf38a4fba37e117f2bbe3e3ae7bcfee
rescore-puc-v3-1047.tsv	1537	a6bd2148361903f222089e0fb560d8cb54b834437258b8ebb694e996ca1e9c12
rescore-puc-v3-1535.tsv	1539	c4c136bd2492fb24d9358f54abb1ffb6f64466ecec4482be16d15dca7fece88d
rescore-puc-v3-1536.tsv	1538	811859889a9216f3f10f82b41478791e695af41bb1571f9f21aabcfb302efc66
rescore-puc-v3-1713.tsv	1537	cff84f0fe945462e219c88dff3f96ee61421b98052d5bb43c0362dcf9390114b
rescore-puc-v3-2047.tsv	1539	89c810ee8b3c215736dc82cdf1d933c6711fec5c5bd5b74b5fc62da008d13328
rescore-puc-v3-2048.tsv	1539	fb6e237bbb4f14d484d512478047f495c880056e61267183cc47ba4161d5d2e4
rescore-puc-v3-2192.tsv	1536	a8c83aa03e95c7c8843b25c2ce48b7cfff1eaf62a96f1cf69e29d944cabe9e33
rescore-puc-v3-2559.tsv	1538	59eddc1d99c2d7eea00a3bc1f3257ce4a93612d4b87888b60e7ca50739f537d0
rescore-puc-v3-2560.tsv	1537	789dd7eb4001ce36a6f8f882ec64324f59d5b60258a12b2e86e408cb18b6c6f5
rescore-puc-v3-3071.tsv	1537	f21327b3e1428bafe5ed22af7f12d09ad74f2654f7b3e98ed65ca947260c29f6
rescore-puc-v3-3072.tsv	1538	a80fb80b0bb2c2f90439a0d4848e2bed64b63df80c07c84b6cdab9d4d7a3e596
rescore-puc-v3-3438.tsv	1537	1e3810a856666db8b6bbac6ae59db83f8f9c16f082fd90c2f01b0c0ecae22837
rescore-puc-v3-3583.tsv	1539	996b9b3c754d26b6090c644c00da7a8b834cba930ac8fa64509da3308b29c0c1
rescore-puc-v3-3584.tsv	1539	ee5b4881282fc0b838019dd43b859571c44d50509867c546cf5af992b6ae79e7
rescore-puc-v3-4095.tsv	1539	044c9d5809b284ae37cc305ff4e667d8fc70c4e40a4ff9e25e076d1a850a41e0
selected-puc-v3-slot28.tsv	1734	51804ec7f193c07bfa2432408721fd2e66b4597a89148c3a550eb1a337ea47d0
selected-puc-v3-slot29.tsv	1732	36a5541392bc472f2106f98bfd9145610fd49dc8a17c24e2e23fc41289662a1a
selected-puc-v3-slot30.tsv	1738	4d856e20dccd4bcf4aa1a9919fa7216b2d05baf796054837438f8f93ca5158ee
selected-puc-v3-slot31.tsv	1735	0dcbe15a58bcf2a6242f4c369e3f8a4386b1a362d0a4c954492299c978a6a129
