event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=23855037
event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=12891988
event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=13972692
event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=588278
event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=228435
event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=639241
event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=493787
event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=195236
event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=210899
event=mapchunk case=core mapchunk=-112:-32:-1552 kind=capital elapsed_us=1073835
event=mapchunk case=core mapchunk=-32:-32:-1552 kind=capital elapsed_us=724721
event=mapchunk case=core mapchunk=-112:48:-1552 kind=capital elapsed_us=189943
event=mapchunk case=core mapchunk=-32:48:-1552 kind=capital elapsed_us=161062
event=mapchunk case=core mapchunk=-112:-32:-1472 kind=capital elapsed_us=715013
event=mapchunk case=core mapchunk=-32:-32:-1472 kind=capital elapsed_us=658224
event=mapchunk case=core mapchunk=-112:48:-1472 kind=capital elapsed_us=151528
event=mapchunk case=core mapchunk=-32:48:-1472 kind=capital elapsed_us=194886
event=mapchunk case=plot_market_granary mapchunk=48:-32:-1632 kind=capital elapsed_us=843061
event=mapchunk case=plot_market_granary mapchunk=48:48:-1632 kind=capital elapsed_us=199108
event=mapchunk case=plot_market_workshop mapchunk=128:-32:-1632 kind=capital elapsed_us=756807
event=mapchunk case=plot_market_workshop mapchunk=128:48:-1632 kind=capital elapsed_us=159696
event=mapchunk case=plot_market_grove mapchunk=48:-32:-1712 kind=capital elapsed_us=695670
