== the 36 lots of dur_brannoc, on 9 worlds
quadrant	lot	x	z	verdict	worst_fall	worst_rise
southeast	1	120	-120	legal	5	5
southeast	2	156	-112	legal	6	5
southeast	3	200	-112	legal	5	6
southeast	4	112	-164	legal	5	6
southeast	5	156	-164	legal	6	5
southeast	6	200	-164	legal	6	4
southeast	7	112	-212	legal	6	6
southeast	8	156	-208	legal	6	5
southeast	9	200	-208	legal	4	4
northeast	1	116	108	legal	4	6
northeast	2	120	156	legal	5	5
northeast	3	116	204	legal	6	6
northeast	4	156	112	legal	6	5
northeast	5	156	156	legal	5	5
northeast	6	156	200	legal	5	6
northeast	7	204	112	legal	4	5
northeast	8	204	156	legal	6	6
northeast	9	204	204	legal	6	6
northwest	1	-120	72	legal	4	5
northwest	2	-164	72	legal	5	4
northwest	3	-208	72	legal	6	5
northwest	4	-120	112	legal	5	5
northwest	5	-164	116	legal	6	6
northwest	6	-208	116	legal	5	6
northwest	7	-120	156	legal	4	5
northwest	8	-164	160	legal	4	5
northwest	9	-204	160	legal	4	6
southwest	1	-116	-120	legal	5	6
southwest	2	-116	-164	legal	6	6
southwest	3	-116	-208	legal	6	6
southwest	4	-164	-120	legal	4	6
southwest	5	-160	-164	legal	5	5
southwest	6	-160	-208	legal	5	6
southwest	7	-204	-120	legal	6	4
southwest	8	-204	-164	legal	5	4
southwest	9	-204	-212	legal	6	4

== the 16 fill lots
quadrant	slot	x	z	reach	verdict	worst_fall	worst_rise
southeast	1	232	-116	11	legal	6	5
southeast	2	80	-232	11	legal	5	4
southeast	3	228	-232	8	legal	4	4
southeast	4	162	-232	5	legal	3	3
northeast	1	116	234	11	legal	5	6
northeast	2	234	116	11	legal	3	5
northeast	3	232	232	8	legal	5	4
northeast	4	232	182	5	legal	3	3
northwest	1	-234	148	11	legal	5	5
northwest	2	-120	232	11	legal	6	6
northwest	3	-232	232	8	legal	4	4
northwest	4	-184	232	5	legal	3	3
southwest	1	-84	-208	11	legal	6	4
southwest	2	-218	-88	11	legal	6	5
southwest	3	-232	-204	8	legal	4	5
southwest	4	-228	-156	5	legal	3	2

== every plot against the envelope of the lot it stands on
plot	district	quadrant	kind	lot	verdict	x_reach	z_reach	clear
forge_charcoal	dur_brannoc_forge	southeast	plot	1	fits	8	10	13
forge_pack_stable	dur_brannoc_forge	southeast	plot	2	fits	10	8	11
forge_smithy	dur_brannoc_forge	southeast	plot	3	fits	9	11	11
forge_guild_house	dur_brannoc_forge	southeast	plot	4	fits	9	11	13
forge_quench_court	dur_brannoc_forge	southeast	plot	5	fits	10	10	8
forge_watch	dur_brannoc_forge	southeast	plot	6	fits	10	13	12
forge_copse	dur_brannoc_forge	southeast	plot	7	fits	9	9	24
forge_ore_yard	dur_brannoc_forge	southeast	plot	8	fits	8	10	13
forge_store	dur_brannoc_forge	southeast	plot	9	fits	8	10	12
forge_ore_court	dur_brannoc_forge	southeast	fill	1	fits	11	11	8
forge_charcoal_field	dur_brannoc_forge	southeast	fill	2	fits	11	11	8
forge_slag_yard	dur_brannoc_forge	southeast	fill	3	fits	8	8	8
forge_green	dur_brannoc_forge	southeast	fill	4	fits	5	5	8
garrison_barracks	dur_brannoc_garrison	northeast	plot	1	fits	11	13	13
garrison_muster_hall	dur_brannoc_garrison	northeast	plot	2	fits	10	11	11
garrison_armoury	dur_brannoc_garrison	northeast	plot	3	fits	10	11	11
garrison_drill_yard	dur_brannoc_garrison	northeast	plot	4	fits	10	10	14
garrison_stable	dur_brannoc_garrison	northeast	plot	5	fits	10	9	11
garrison_quartermaster	dur_brannoc_garrison	northeast	plot	6	fits	9	10	12
garrison_wain_shed	dur_brannoc_garrison	northeast	plot	7	fits	11	9	9
garrison_serjeant	dur_brannoc_garrison	northeast	plot	8	fits	8	6	9
garrison_watch_tower	dur_brannoc_garrison	northeast	plot	9	fits	7	7	14
garrison_muster_field	dur_brannoc_garrison	northeast	fill	1	fits	11	11	8
garrison_pack_pen	dur_brannoc_garrison	northeast	fill	2	fits	11	11	8
garrison_wood_yard	dur_brannoc_garrison	northeast	fill	3	fits	8	8	8
garrison_green	dur_brannoc_garrison	northeast	fill	4	fits	5	5	8
deep_hall_of_record	dur_brannoc_deep	northwest	plot	1	fits	9	11	21
deep_scriptorium	dur_brannoc_deep	northwest	plot	2	fits	9	11	13
deep_memory_hall	dur_brannoc_deep	northwest	plot	3	fits	10	11	11
