seed	531802985935182545
start	route	kind	z_offset	first_host_west	first_host_east
anchor_001	route_001	apron	65	>40	>40
anchor_001	route_001	apron	69	>40	>40
anchor_001	route_001	apron	73	>40	>40
anchor_001	route_001	approach	80	9	9
anchor_001	route_001	approach	100	9	9
anchor_001	route_001	approach	120	9	9
anchor_001	route_001	ordinary	pin	9	9
anchor_002	route_004	apron	65	>40	>40
anchor_002	route_004	apron	69	>40	>40
anchor_002	route_004	apron	73	>40	>40
anchor_002	route_004	approach	80	9	9
anchor_002	route_004	approach	100	9	9
anchor_002	route_004	approach	120	9	9
anchor_002	route_004	ordinary	pin	9	11
anchor_003	route_007	apron	65	>40	>40
anchor_003	route_007	apron	69	>40	>40
anchor_003	route_007	apron	73	>40	>40
anchor_003	route_007	approach	80	9	9
anchor_003	route_007	approach	100	9	9
anchor_003	route_007	approach	120	9	9
anchor_003	route_007	ordinary	pin	>40	9
anchor_004	route_010	apron	65	>40	>40
anchor_004	route_010	apron	69	>40	>40
anchor_004	route_010	apron	73	>40	>40
anchor_004	route_010	approach	80	9	9
anchor_004	route_010	approach	100	9	9
anchor_004	route_010	approach	120	9	9
anchor_004	route_010	ordinary	pin	23	>40
anchor_005	route_013	apron	65	>40	>40
anchor_005	route_013	apron	69	>40	>40
anchor_005	route_013	apron	73	>40	>40
anchor_005	route_013	approach	80	9	9
anchor_005	route_013	approach	100	9	9
anchor_005	route_013	approach	120	9	9
anchor_005	route_013	ordinary	pin	9	>40
anchor_006	route_016	apron	65	>40	>40
anchor_006	route_016	apron	69	>40	>40
anchor_006	route_016	apron	73	>40	>40
anchor_006	route_016	approach	80	9	9
anchor_006	route_016	approach	100	9	9
anchor_006	route_016	approach	120	9	9
anchor_006	route_016	ordinary	pin	>40	14
