seed	8675309
start	band	columns	claim_excluded	veg_excluded	host_claim	host_vegetation
anchor_001	pad_0_63	16129	16129	16129	0	0
anchor_001	apron_64_73	5480	5480	1913	0	3567
anchor_001	blend_74_127	43416	43416	921	724	42496
anchor_001	outside_128_160	38016	1305	794	37222	37222
anchor_002	pad_0_63	16129	16129	16129	0	0
anchor_002	apron_64_73	5480	5480	1810	0	3670
anchor_002	blend_74_127	43416	43416	4226	4000	42499
anchor_002	outside_128_160	38016	5610	5099	37470	37470
anchor_003	pad_0_63	16129	16129	16129	0	0
anchor_003	apron_64_73	5480	5480	1760	0	3720
anchor_003	blend_74_127	43416	43416	922	696	42495
anchor_003	outside_128_160	38016	1406	895	37121	37121
anchor_004	pad_0_63	16129	16129	16129	0	0
anchor_004	apron_64_73	5480	5480	1706	0	3774
anchor_004	blend_74_127	43416	43416	921	735	42495
anchor_004	outside_128_160	38016	1292	801	37215	37215
anchor_005	pad_0_63	16129	16129	16129	0	0
anchor_005	apron_64_73	5480	5480	1578	0	3902
anchor_005	blend_74_127	43416	43416	920	740	42497
anchor_005	outside_128_160	38016	2486	1994	37305	37305
anchor_006	pad_0_63	16129	16129	16129	0	0
anchor_006	apron_64_73	5480	5480	1680	0	3800
anchor_006	blend_74_127	43416	43416	918	725	42498
anchor_006	outside_128_160	38016	1048	554	37462	37462
