start	0	anchor_001	45	45	42	46	0	9	2923	169
start	0	anchor_002	25	25	20	28	0	9	1243	127
start	0	anchor_003	21	21	20	26	0	9	1015	153
start	0	anchor_004	53	50	53	53	0	9	3427	315
start	0	anchor_005	35	35	30	38	0	9	2077	121
start	0	anchor_006	24	24	19	26	0	9	1162	155
start	1	anchor_001	27	27	25	29	0	9	1435	155
start	1	anchor_002	16	16	12	20	0	9	567	116
start	1	anchor_003	37	37	32	38	0	9	2216	154
start	1	anchor_004	61	61	57	64	0	9	4220	142
start	1	anchor_005	36	36	33	39	0	9	2148	131
start	1	anchor_006	20	20	16	22	0	9	822	131
start	42	anchor_001	29	29	25	33	0	9	1662	120
start	42	anchor_002	18	18	14	21	0	9	683	128
start	42	anchor_003	45	45	41	49	0	9	2920	128
start	42	anchor_004	56	56	51	59	0	9	3777	148
start	42	anchor_005	41	41	36	45	0	9	2594	102
start	42	anchor_006	20	20	18	25	0	9	896	151
start	8675309	anchor_001	16	16	13	22	0	9	606	121
start	8675309	anchor_002	21	21	18	25	0	9	1006	138
start	8675309	anchor_003	42	42	37	45	0	9	2658	93
start	8675309	anchor_004	48	48	46	49	0	9	3137	272
start	8675309	anchor_005	46	46	41	47	0	9	2945	154
start	8675309	anchor_006	17	17	12	21	0	9	665	129
start	531802985935182545	anchor_001	25	25	21	30	0	9	1288	104
start	531802985935182545	anchor_002	17	17	13	21	0	9	636	130
start	531802985935182545	anchor_003	21	21	21	25	0	9	1023	129
start	531802985935182545	anchor_004	54	54	57	55	3	9	3761	322
start	531802985935182545	anchor_005	27	27	23	32	0	9	1494	116
start	531802985935182545	anchor_006	20	20	17	25	0	9	921	124
