schema	grug_wp40_c1_v3_closeout_metadata_v1
conformance_commit	5d770365ed884b02c822b7183b4a7ad64ba611ff
conformance_tree	52ec4f388d39775d5dc68c1e5a244cdf310d4524
conformance_dag_sha256	52e2d45938ef42ced13849f3c30662ef02491c96be8170f1258ecdc20aefcc3e
execution_authority_dag_sha256	f8f995d6a3b9a999918a8c21dc6837d66c56e5796ed34157cd507b984a000134
interpreter_path	/home/jan/projects/grudgelands/tools/bin/lua51
interpreter_sha256	a1a427f38260513b64158630bc2b7d2fccfa31b48129efbfbcc60e02e4960a4f
compiler_path	/home/jan/projects/grudgelands/tools/bin/luac51
compiler_sha256	2346ee2dd78d81aa39ba80f48edc5902e5f7b21c12c90b51c6ce6867aa6ee1d3
fresh_run_command	tools/wp40/run_t2_extreme_conformance.sh
fresh_run_exit_status	0
fresh_run_terminal_token	WP40 T2 C1 v3 conformance complete rescore=20/20 selected=4/4 stage2=pending_seed_corpus_promotion
fresh_run_log_sha256	93c303abbc2f2963fe1e7dd34bf0e09065dfa20697f7c5aaefb801773a82c9d8
resume_run_command	tools/wp40/run_t2_extreme_conformance.sh
resume_run_exit_status	0
resume_run_terminal_token	WP40 T2 C1 v3 conformance resumed complete rescore=20/20 selected=4/4
resume_run_log_sha256	be43501b7c04ff0b347b989615a645bfa1d3d6fd29a47c8418cfc5a9fb88eb39
artifact_manifest_sha256	ab07d919b91d176e6ec8cba4a43b6c79159bfeb74e5e4097a909a8f98e8e8483
artifact_count	25
rescore_count	20
selected_count	4
rescore_phase_wall_seconds	215
selected_phase_wall_seconds	5507
end_to_end_wall_time	approximately_99_minutes_phase_counters_exact_total_not_separately_instrumented
final_artifact_sha256	7ac6b7f9678b53ffa64b6614b7a2926625e1cce53775101a2fd1ae37704fac20
stage2_status	pending_seed_corpus_promotion
