schema	grug_wp40_r7_micro_kat_receipt_v1
input_set_sha256	eb2ce545a3d8ad33d7e207cc1eb7cd40e9d1ea4354d632fb0ef149b95b4eb834
input_population	100
executed_module_population	71
executed_module_roster_sha256	e91819443b4bdbd25fdff070d791d9981d68e5a7171d33bf3b315eca8acab04f
luajit_binary_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
puc51_binary_sha256	a1a427f38260513b64158630bc2b7d2fccfa31b48129efbfbcc60e02e4960a4f
luajit_output_sha256	3e4e7e3a7914b6c5c9cf2348c3ff8f7626989f14e82f43b38d55bc90fe95bcb6
puc51_output_sha256	3e4e7e3a7914b6c5c9cf2348c3ff8f7626989f14e82f43b38d55bc90fe95bcb6
canonical_output_filename	wp40-r7-micro-kat-output.tsv
canonical_output_sha256	3e4e7e3a7914b6c5c9cf2348c3ff8f7626989f14e82f43b38d55bc90fe95bcb6
canonical_output_bytes	6365
luajit_log_filename	wp40-r7-micro-kat-luajit.log
luajit_log_sha256	5e2084107e30af58cf2818d3e8ec5dc7b84afe5ac592fe11b2c4965aaa6420c3
luajit_log_bytes	123
luajit_exit_status	0
puc51_log_filename	wp40-r7-micro-kat-puc51.log
puc51_log_sha256	212601346facc6ac1b55dbc2b22be8c505d4d26f9abdba4fa6f2452ad4bcca6f
puc51_log_bytes	122
puc51_exit_status	0
byte_identical	true
input	mods/BASE/default/mapgen.lua	ddabba29f42c63755e931f1dec4c1efe4bed64480bd4512e035bb24581b99ef4
input	mods/BASE/default/nodes.lua	98c385aee7af663d956431886eb26c1a640ce2c059006695feec4c4fb1f241b0
input	mods/CORE/grug_core/init.lua	8bf641eb95e3bbec25c8c1f2d5858b99c08f292c5c1d140df57a9a1cd728f578
input	mods/CORE/grug_core/protection.lua	697842943092718c56c9ae34688182bf574b65c67c1fad079f60cafa9acbf71a
input	mods/CORE/grug_core/zone_authority.lua	a95ea710d714ff1e5014e1919051b177daed7b72614f0023ac5358b2f1988f9e
input	mods/ENTITIES/grug_mobs/aggro.lua	79e06d36e0344694a24ec4c772554414b0468a619b6e02d1eca77a8dcf0d4015
input	mods/ENTITIES/grug_mobs/bandit.lua	3afec2ac0e0c5e3c1115902f7775731d3c45784d6e2a1a546a63d9eee09ba535
input	mods/ENTITIES/grug_mobs/bear.lua	c0abc6a89cc6df2a9deb4d2bad7027542fd0c33dfae7b200c98d1389f3351041
input	mods/ENTITIES/grug_mobs/boar.lua	29588c604cf1443ad03a4de138c5b9609ba9fb4f5dc57bfec0190aeae3d417d5
input	mods/ENTITIES/grug_mobs/boar_variants.lua	4b8966fa94263434a77abd04b4f016591b9543d6de697952388c4145413e4ef7
input	mods/ENTITIES/grug_mobs/bog_fowl.lua	8554474fd73f58e735196494deb6a58a145c558e6f2a65079d311243ca2da368
input	mods/ENTITIES/grug_mobs/bog_ooze.lua	b00bdbd7d04c0dd18ea3af25f86cf46183574ea4c495ab1a723df90c262f2750
input	mods/ENTITIES/grug_mobs/bone_weevil.lua	edbe004f3206fde299545b2cee11888264ccf948b26aff13138caa45017588ed
input	mods/ENTITIES/grug_mobs/camps.lua	d12cbc2c7dbaaa90186491f3fae43ea9a24ab40d7435701877473c4b3323a967
input	mods/ENTITIES/grug_mobs/carrion_crow.lua	d99173f469ca3f91fc20f5c97e8240052e89312437a6c59a2b617eee8205d4ff
input	mods/ENTITIES/grug_mobs/cave_bat.lua	8fd04632e79eb5ecaae1eae05eea4184071088109d56226b625c3e70aa4ba49f
input	mods/ENTITIES/grug_mobs/cave_crawler.lua	b6e53dec818cc3d095d853d4cdfb4079b265f1f987516b3a431f53beddc994ef
input	mods/ENTITIES/grug_mobs/crocodile.lua	9de1a281707ad3e1e1f1fa97eae16a7cdef2b6399aa6396c232fd2414f4752a4
input	mods/ENTITIES/grug_mobs/eagle.lua	6165c05374eca128d6781f49d3d749b88afda41e43258a2ab726163fc13d871a
input	mods/ENTITIES/grug_mobs/golem.lua	aa972323f14b542a05c5f4c2206143551ca0f1153b08039cbb5e7503ced45fc3
input	mods/ENTITIES/grug_mobs/guard.lua	b81e4a220142c456a41e384d79f116a433a56f6b5f2e3d2bd7a7bc51e6192b78
input	mods/ENTITIES/grug_mobs/gull.lua	3942c3ff42c39eb30a782232ff734eb7c1d79e04cfe836ed4a044f5b0127d8b0
input	mods/ENTITIES/grug_mobs/hyena.lua	e06bca5d7553c121bc5f434d6149a728c0f47814466ba50a35c8696a86f95b6c
input	mods/ENTITIES/grug_mobs/init.lua	9dfc8eca9377fdb6df4dc95693108d4605c24b59e150d08efaa68d8322bbc7c1
input	mods/ENTITIES/grug_mobs/items.lua	9abce1d7a63433f62c6d0afc2715c229dd8659108bd15433cddfa73a4020c905
input	mods/ENTITIES/grug_mobs/jungle_ape.lua	0bfc84bbb1b8cf682a6996939b3c6bd12d3b32ab719f24cb2066c17a8ba28734
input	mods/ENTITIES/grug_mobs/jungle_lynx.lua	d60cfafba1cc62c094969a523c26560142927224877aac2bbf14c38795712f16
input	mods/ENTITIES/grug_mobs/kraken.lua	01129b59ce910d09562a106c4c99b61c461232f005b9b1e6fc19e6e127cc9edf
