kind	seed	anchor	x	z	anchor_y	terrain_y	water	functional	functional_y	root_y	root_chunk	support_chunk	root_on_chunk_edge
capital_anchor	531802985935182545	anchor_007	-1800	-1500	149	149	land	land_grade	149	150	128	128	false
capital_anchor	531802985935182545	anchor_008	0	-1500	40	40	land	land_grade	40	41	-32	-32	false
capital_anchor	531802985935182545	anchor_009	1800	-1500	41	41	land	land_grade	41	42	-32	-32	false
capital_anchor	531802985935182545	anchor_010	-1800	1500	106	106	land	land_grade	106	107	48	48	false
capital_anchor	531802985935182545	anchor_011	0	1500	94	94	land	land_grade	94	95	48	48	false
capital_anchor	531802985935182545	anchor_012	1800	1500	66	66	land	land_grade	66	67	48	48	false
capital_anchor	8675309	anchor_007	-1800	-1500	140	140	land	land_grade	140	141	128	128	false
capital_anchor	8675309	anchor_008	0	-1500	33	33	land	land_grade	33	34	-32	-32	false
capital_anchor	8675309	anchor_009	1800	-1500	36	36	land	land_grade	36	37	-32	-32	false
capital_anchor	8675309	anchor_010	-1800	1500	100	100	land	land_grade	100	101	48	48	false
capital_anchor	8675309	anchor_011	0	1500	104	104	land	land_grade	104	105	48	48	false
capital_anchor	8675309	anchor_012	1800	1500	66	66	land	land_grade	66	67	48	48	false
capital_anchor	15912857179583385436	anchor_007	-1800	-1500	134	134	land	land_grade	134	135	128	128	false
capital_anchor	15912857179583385436	anchor_008	0	-1500	47	47	land	land_grade	47	48	48	-32	true
capital_anchor	15912857179583385436	anchor_009	1800	-1500	36	36	land	land_grade	36	37	-32	-32	false
capital_anchor	15912857179583385436	anchor_010	-1800	1500	107	107	land	land_grade	107	108	48	48	false
capital_anchor	15912857179583385436	anchor_011	0	1500	128	128	land	land_grade	128	129	128	128	false
capital_anchor	15912857179583385436	anchor_012	1800	1500	66	66	land	land_grade	66	67	48	48	false
capital_anchor	0	anchor_007	-1800	-1500	146	146	land	land_grade	146	147	128	128	false
capital_anchor	0	anchor_008	0	-1500	44	44	land	land_grade	44	45	-32	-32	false
capital_anchor	0	anchor_009	1800	-1500	42	42	land	land_grade	42	43	-32	-32	false
capital_anchor	0	anchor_010	-1800	1500	96	96	land	land_grade	96	97	48	48	false
capital_anchor	0	anchor_011	0	1500	114	114	land	land_grade	114	115	48	48	false
capital_anchor	0	anchor_012	1800	1500	66	66	land	land_grade	66	67	48	48	false
capital_anchor	1	anchor_007	-1800	-1500	128	128	land	land_grade	128	129	128	128	false
capital_anchor	1	anchor_008	0	-1500	33	33	land	land_grade	33	34	-32	-32	false
capital_anchor	1	anchor_009	1800	-1500	53	53	land	land_grade	53	54	48	48	false
capital_anchor	1	anchor_010	-1800	1500	109	109	land	land_grade	109	110	48	48	false
capital_anchor	1	anchor_011	0	1500	111	111	land	land_grade	111	112	48	48	false
capital_anchor	1	anchor_012	1800	1500	66	66	land	land_grade	66	67	48	48	false
capital_anchor	2	anchor_007	-1800	-1500	141	141	land	land_grade	141	142	128	128	false
capital_anchor	2	anchor_008	0	-1500	42	42	land	land_grade	42	43	-32	-32	false
capital_anchor	2	anchor_009	1800	-1500	36	36	land	land_grade	36	37	-32	-32	false
capital_anchor	2	anchor_010	-1800	1500	93	93	land	land_grade	93	94	48	48	false
capital_anchor	2	anchor_011	0	1500	98	98	land	land_grade	98	99	48	48	false
capital_anchor	2	anchor_012	1800	1500	66	66	land	land_grade	66	67	48	48	false
capital_anchor	42	anchor_007	-1800	-1500	114	114	land	land_grade	114	115	48	48	false
capital_anchor	42	anchor_008	0	-1500	38	38	land	land_grade	38	39	-32	-32	false
capital_anchor	42	anchor_009	1800	-1500	36	36	land	land_grade	36	37	-32	-32	false
capital_anchor	42	anchor_010	-1800	1500	92	92	land	land_grade	92	93	48	48	false
capital_anchor	42	anchor_011	0	1500	88	88	land	land_grade	88	89	48	48	false
capital_anchor	42	anchor_012	1800	1500	66	66	land	land_grade	66	67	48	48	false
capital_anchor	12345	anchor_007	-1800	-1500	156	156	land	land_grade	156	157	128	128	false
capital_anchor	12345	anchor_008	0	-1500	35	35	land	land_grade	35	36	-32	-32	false
capital_anchor	12345	anchor_009	1800	-1500	36	36	land	land_grade	36	37	-32	-32	false
capital_anchor	12345	anchor_010	-1800	1500	124	124	land	land_grade	124	125	48	48	false
capital_anchor	12345	anchor_011	0	1500	80	80	land	land_grade	80	81	48	48	false
capital_anchor	12345	anchor_012	1800	1500	66	66	land	land_grade	66	67	48	48	false
capital_anchor	999999999	anchor_007	-1800	-1500	140	140	land	land_grade	140	141	128	128	false
capital_anchor	999999999	anchor_008	0	-1500	54	54	land	land_grade	54	55	48	48	false
capital_anchor	999999999	anchor_009	1800	-1500	39	39	land	land_grade	39	40	-32	-32	false
capital_anchor	999999999	anchor_010	-1800	1500	87	87	land	land_grade	87	88	48	48	false
capital_anchor	999999999	anchor_011	0	1500	84	84	land	land_grade	84	85	48	48	false
capital_anchor	999999999	anchor_012	1800	1500	66	66	land	land_grade	66	67	48	48	false
capital_anchor_digest	54	981a0353a283057a838598a58f6c5b2f082b74a4ef950483e3f9f0db3ab954b8
capital_anchor_edge_cases	1
