capital	plot	service	socket	role	tag	node	entity	x	y	z
highcourt	homes_bakehouse	cooking	homes_bakehouse/homes_bakehouse_cooking	trainer	cooking	air	grug_mobs:villager_human	-130	41	-1629
highcourt	homes_bakehouse	cooking	homes_bakehouse/homes_bakehouse_station	public_station	furnace	default:furnace	-	-128	41	-1627
highcourt	lore_archive	goldsmith	lore_archive/lore_archive_goldsmith	trainer	goldsmith	air	grug_mobs:villager_human	174	33	-1393
highcourt	lore_archive	goldsmith	lore_archive/lore_archive_jewel	gear_display	jewel	air	grug_mobs:capital_display	179	34	-1390
highcourt	lore_archive	goldsmith	lore_archive/lore_archive_station	public_station	jewellers_bench	grug_jobs:jewellers_bench	-	176	33	-1391
highcourt	lore_herb_garden	alchemist	lore_herb_garden/lore_herb_garden_alchemist	trainer	alchemist	air	grug_mobs:villager_human	174	39	-1349
highcourt	lore_herb_garden	alchemist	lore_herb_garden/lore_herb_garden_station	public_station	brewing_stand	grug_brewing:brewing_stand	-	176	39	-1347
highcourt	market_counting_house	tailor	market_counting_house/market_counting_house_station	public_station	tailor_bench	grug_jobs:tailor_bench	-	72	46	-1615
highcourt	market_counting_house	tailor	market_counting_house/market_counting_house_tailor	trainer	tailor	air	grug_mobs:villager_human	70	46	-1617
highcourt	market_stable	riding	market_stable/market_stable_mount_1	mount_display	1	air	grug_mobs:capital_display	111	43	-1575
highcourt	market_stable	riding	market_stable/market_stable_mount_2	mount_display	2	air	grug_mobs:capital_display	121	43	-1575
highcourt	market_stable	riding	market_stable/market_stable_mount_3	mount_display	3	air	grug_mobs:capital_display	111	43	-1569
highcourt	market_stable	riding	market_stable/market_stable_mount_4	mount_display	4	air	grug_mobs:capital_display	121	43	-1569
highcourt	market_stable	riding	market_stable/market_stable_riding	riding_trainer		air	grug_mobs:villager_human	116	43	-1578
highcourt	market_store	leatherworker	market_store/market_store_leatherworker	trainer	leatherworker	air	grug_mobs:villager_human	158	38	-1661
highcourt	market_store	leatherworker	market_store/market_store_station	public_station	tanning_rack	grug_jobs:tanning_rack	-	160	38	-1659
highcourt	market_workshop	forge	market_workshop/market_workshop_armor	gear_display	armor	air	grug_mobs:capital_display	163	40	-1569
highcourt	market_workshop	forge	market_workshop/market_workshop_armorsmith	trainer	armorsmith	air	grug_mobs:villager_human	162	39	-1573
highcourt	market_workshop	forge	market_workshop/market_workshop_station	public_station	forge	grug_jobs:forge	-	160	39	-1571
highcourt	market_workshop	forge	market_workshop/market_workshop_weapon	gear_display	weapon	air	grug_mobs:capital_display	157	40	-1569
highcourt	market_workshop	forge	market_workshop/market_workshop_weaponsmith	trainer	weaponsmith	air	grug_mobs:villager_human	158	39	-1573
highcourt	martial_wain_shed	woodcarver	martial_wain_shed/martial_wain_shed_station	public_station	carving_bench	grug_jobs:carving_bench	-	-132	35	-1331
highcourt	martial_wain_shed	woodcarver	martial_wain_shed/martial_wain_shed_woodcarver	trainer	woodcarver	air	grug_mobs:villager_human	-134	35	-1333
