capital	plot	service	socket	role	tag	node	entity	x	y	z
lethariel	homes_brewhouse	alchemist	homes_brewhouse/homes_brewhouse_alchemist	trainer	alchemist	air	grug_mobs:villager_elf	1870	43	-1627
lethariel	homes_brewhouse	alchemist	homes_brewhouse/homes_brewhouse_station	public_station	brewing_stand	grug_brewing:brewing_stand	-	1872	43	-1625
lethariel	market_bakehouse	cooking	market_bakehouse/market_bakehouse_cooking	trainer	cooking	air	grug_mobs:villager_elf	1632	39	-1339
lethariel	market_bakehouse	cooking	market_bakehouse/market_bakehouse_station	public_station	furnace	default:furnace	-	1634	39	-1337
lethariel	market_bowyer	woodcarver	market_bowyer/market_bowyer_station	public_station	carving_bench	grug_jobs:carving_bench	-	1626	33	-1427
lethariel	market_bowyer	woodcarver	market_bowyer/market_bowyer_woodcarver	trainer	woodcarver	air	grug_mobs:villager_elf	1624	33	-1429
lethariel	market_stable	riding	market_stable/market_stable_mount_1	mount_display	1	air	grug_mobs:capital_display	1671	39	-1431
lethariel	market_stable	riding	market_stable/market_stable_mount_2	mount_display	2	air	grug_mobs:capital_display	1681	39	-1431
lethariel	market_stable	riding	market_stable/market_stable_mount_3	mount_display	3	air	grug_mobs:capital_display	1671	39	-1425
lethariel	market_stable	riding	market_stable/market_stable_mount_4	mount_display	4	air	grug_mobs:capital_display	1681	39	-1425
lethariel	market_stable	riding	market_stable/market_stable_riding	riding_trainer		air	grug_mobs:villager_elf	1676	39	-1434
lethariel	market_weaver	tailor	market_weaver/market_weaver_station	public_station	tailor_bench	grug_jobs:tailor_bench	-	1728	30	-1375
lethariel	market_weaver	tailor	market_weaver/market_weaver_tailor	trainer	tailor	air	grug_mobs:villager_elf	1726	30	-1377
lethariel	martial_armoury	forge	martial_armoury/martial_armoury_armor	gear_display	armor	air	grug_mobs:capital_display	1731	49	-1621
lethariel	martial_armoury	forge	martial_armoury/martial_armoury_armorsmith	trainer	armorsmith	air	grug_mobs:villager_elf	1730	48	-1625
lethariel	martial_armoury	forge	martial_armoury/martial_armoury_station	public_station	forge	grug_jobs:forge	-	1728	48	-1623
lethariel	martial_armoury	forge	martial_armoury/martial_armoury_weapon	gear_display	weapon	air	grug_mobs:capital_display	1725	49	-1621
lethariel	martial_armoury	forge	martial_armoury/martial_armoury_weaponsmith	trainer	weaponsmith	air	grug_mobs:villager_elf	1726	48	-1625
lethariel	martial_store	leatherworker	martial_store/martial_store_leatherworker	trainer	leatherworker	air	grug_mobs:villager_elf	1674	39	-1677
lethariel	martial_store	leatherworker	martial_store/martial_store_station	public_station	tanning_rack	grug_jobs:tanning_rack	-	1676	39	-1675
lethariel	mere_lore_hall	goldsmith	mere_lore_hall/mere_lore_hall_goldsmith	trainer	goldsmith	air	grug_mobs:villager_elf	1980	63	-1267
lethariel	mere_lore_hall	goldsmith	mere_lore_hall/mere_lore_hall_jewel	gear_display	jewel	air	grug_mobs:capital_display	1985	64	-1264
lethariel	mere_lore_hall	goldsmith	mere_lore_hall/mere_lore_hall_station	public_station	jewellers_bench	grug_jobs:jewellers_bench	-	1982	63	-1265
