case_id	result
analytic_shape	grug_wp40_test_record_v1:row:7:alpha:zeta:3
analytic_rejects	extra,cross,sparse,metatable,function,attributes
raw_mapping	wetland_delta:3:14:25,lowland:9:33:57,rolling_hills:25:61:97,plateau:57:101:145,highland:97:161:225,mountain:161:261:361
seed_zero	16:17333:4:4
seed_max_u64	254:-4196:12
seed_small_corpus	1:lowland:-1800:-2520:34:4322,2147483648:rolling_hills:1736:-1500:79:33881,343674299183575008:highland:2050:0:124:-37197
hash_domain_candidate_zero	8:4:8:landmark_hearthpine_bowl
mask_rectangle	65536:65536:65536:0
mask_ellipse	1:0:0:49720:0:0
mask_capsule	65536:65536:0:0
landmark_triple_order	54:55:56:215:32
landmark_zero_weight	19:0:0:1
landmark_priority_rejects	source_duplicate,selection_duplicate
relief_cache_performance	6:0:128:4
primitive_flat_tilt	196608:1:0:32768:-32768
primitive_terrace	0:131072:393216:327680
primitive_radial	32768:-393216:-196608:524288
primitive_invalid_overflow	axis,qoverflow,radius_overflow,radii,missing
operator_apply	131072
operator_overlay	196608
operator_subtract	458752
operator_blend	262144
composition_payload_free_14	compose_start:0,compose_capital_dwarf:0,compose_capital_human:0,compose_capital_elf:0,compose_capital_undead:0,compose_capital_orc:0,compose_capital_troll:-786432,compose_village:0,compose_outpost:0,compose_bandit_home:0,compose_bandit_frontier:0,compose_mine:0,compose_dragon:0,compose_apex_mine:0
composition_deferred_4	causeway,cross_section,cross_section,housing_smoothing
feature_blend_and_natural	65536:32768:0:17
api_defensive_source	dependency_metatable,extra_dependency,option,seed
ellipse_001	hearthpine_bowl:-1801:-2740:0:1:0
ellipse_002	hearthpine_bowl:-1799:-2740:0:1:0
ellipse_003	hearthpine_bowl:-2030:-2654:0:1:0
ellipse_004	hearthpine_bowl:-1570:-2654:0:1:0
ellipse_005	hearthpine_bowl:-2090:-2521:0:1:0
ellipse_006	hearthpine_bowl:-1510:-2521:0:1:0
ellipse_007	hearthpine_bowl:-2090:-2519:0:1:0
ellipse_008	hearthpine_bowl:-1510:-2519:0:1:0
ellipse_009	hearthpine_bowl:-2030:-2386:0:1:0
ellipse_010	hearthpine_bowl:-1570:-2386:0:1:0
ellipse_011	hearthpine_bowl:-1801:-2300:0:1:0
ellipse_012	hearthpine_bowl:-1799:-2300:0:1:0
ellipse_013	stormvault_arch:-1821:-780:0:1:0
ellipse_014	stormvault_arch:-1819:-780:0:1:0
ellipse_015	stormvault_arch:-1821:-520:0:1:0
ellipse_016	stormvault_arch:-1819:-520:0:1:0
ellipse_017	goldmead_orchard_slopes:-281:-2200:0:1:0
ellipse_018	goldmead_orchard_slopes:-279:-2200:0:1:0
ellipse_019	goldmead_orchard_slopes:-281:-1900:0:1:0
ellipse_020	goldmead_orchard_slopes:-279:-1900:0:1:0
ellipse_021	starbough_canopy_steps:1949:-2230:0:1:0
ellipse_022	starbough_canopy_steps:1951:-2230:0:1:0
ellipse_023	starbough_canopy_steps:1723:-2079:0:1:0
ellipse_024	starbough_canopy_steps:2177:-2079:0:1:0
ellipse_025	starbough_canopy_steps:1720:-2051:0:1:0
ellipse_026	starbough_canopy_steps:2180:-2051:0:1:0
ellipse_027	starbough_canopy_steps:1720:-2049:0:1:0
ellipse_028	starbough_canopy_steps:2180:-2049:0:1:0
ellipse_029	starbough_canopy_steps:1723:-2021:0:1:0
ellipse_030	starbough_canopy_steps:2177:-2021:0:1:0
ellipse_031	starbough_canopy_steps:1949:-1870:0:1:0
ellipse_032	starbough_canopy_steps:1951:-1870:0:1:0
ellipse_033	lethariel_crownlake:1799:-1720:0:1:0
ellipse_034	lethariel_crownlake:1801:-1720:0:1:0
ellipse_035	lethariel_crownlake:1765:-1718:0:1:0
ellipse_036	lethariel_crownlake:1835:-1718:0:1:0
ellipse_037	lethariel_crownlake:1546:-1547:0:1:0
ellipse_038	lethariel_crownlake:2054:-1547:0:1:0
ellipse_039	lethariel_crownlake:1540:-1501:0:1:0
ellipse_040	lethariel_crownlake:2060:-1501:0:1:0
ellipse_041	lethariel_crownlake:1540:-1499:0:1:0
ellipse_042	lethariel_crownlake:2060:-1499:0:1:0
ellipse_043	lethariel_crownlake:1546:-1453:0:1:0
ellipse_044	lethariel_crownlake:2054:-1453:0:1:0
ellipse_045	lethariel_crownlake:1765:-1282:0:1:0
ellipse_046	lethariel_crownlake:1835:-1282:0:1:0
ellipse_047	lethariel_crownlake:1799:-1280:0:1:0
ellipse_048	lethariel_crownlake:1801:-1280:0:1:0
ellipse_049	lorindor_silverorchards:899:-1690:0:1:0
ellipse_050	lorindor_silverorchards:901:-1690:0:1:0
ellipse_051	lorindor_silverorchards:736:-1654:0:1:0
ellipse_052	lorindor_silverorchards:1064:-1654:0:1:0
ellipse_053	lorindor_silverorchards:620:-1501:0:1:0
ellipse_054	lorindor_silverorchards:1180:-1501:0:1:0
ellipse_055	lorindor_silverorchards:620:-1499:0:1:0
ellipse_056	lorindor_silverorchards:1180:-1499:0:1:0
ellipse_057	lorindor_silverorchards:736:-1346:0:1:0
ellipse_058	lorindor_silverorchards:1064:-1346:0:1:0
ellipse_059	lorindor_silverorchards:899:-1310:0:1:0
ellipse_060	lorindor_silverorchards:901:-1310:0:1:0
ellipse_061	lorindor_berrymarsh:958:-1804:0:1:0
ellipse_062	lorindor_berrymarsh:1202:-1804:0:1:0
ellipse_063	lorindor_berrymarsh:958:-1676:0:1:0
ellipse_064	lorindor_berrymarsh:1202:-1676:0:1:0
ellipse_065	moonfall_crescent:2386:-1729:0:1:0
ellipse_066	moonfall_crescent:2414:-1729:0:1:0
ellipse_067	moonfall_crescent:2282:-1642:0:1:0
ellipse_068	moonfall_crescent:2518:-1642:0:1:0
ellipse_069	moonfall_crescent:2250:-1501:0:1:0
ellipse_070	moonfall_crescent:2550:-1501:0:1:0
ellipse_071	moonfall_crescent:2250:-1499:0:1:0
ellipse_072	moonfall_crescent:2550:-1499:0:1:0
ellipse_073	moonfall_crescent:2282:-1358:0:1:0
ellipse_074	moonfall_crescent:2518:-1358:0:1:0
ellipse_075	moonfall_crescent:2386:-1271:0:1:0
ellipse_076	moonfall_crescent:2414:-1271:0:1:0
ellipse_077	stillgrave_basin:-1801:2300:0:1:0
ellipse_078	stillgrave_basin:-1799:2300:0:1:0
ellipse_079	stillgrave_basin:-2030:2386:0:1:0
ellipse_080	stillgrave_basin:-1570:2386:0:1:0
ellipse_081	stillgrave_basin:-2090:2519:0:1:0
ellipse_082	stillgrave_basin:-1510:2519:0:1:0
ellipse_083	stillgrave_basin:-2090:2521:0:1:0
ellipse_084	stillgrave_basin:-1510:2521:0:1:0
ellipse_085	stillgrave_basin:-2030:2654:0:1:0
ellipse_086	stillgrave_basin:-1570:2654:0:1:0
ellipse_087	stillgrave_basin:-1801:2740:0:1:0
ellipse_088	stillgrave_basin:-1799:2740:0:1:0
ellipse_089	stillgrave_ringbarrows:-1802:2270:0:1:0
ellipse_090	stillgrave_ringbarrows:-1801:2270:0:1:0
ellipse_091	stillgrave_ringbarrows:-1799:2270:0:1:0
ellipse_092	stillgrave_ringbarrows:-1798:2270:0:1:0
ellipse_093	stillgrave_ringbarrows:-1851:2273:0:1:0
ellipse_094	stillgrave_ringbarrows:-1749:2273:0:1:0
ellipse_095	stillgrave_ringbarrows:-1977:2309:0:1:0
ellipse_096	stillgrave_ringbarrows:-1623:2309:0:1:0
ellipse_097	stillgrave_ringbarrows:-2062:2368:0:1:0
ellipse_098	stillgrave_ringbarrows:-1538:2368:0:1:0
ellipse_099	stillgrave_ringbarrows:-2121:2462:0:1:0
ellipse_100	stillgrave_ringbarrows:-1479:2462:0:1:0
ellipse_101	stillgrave_ringbarrows:-2130:2519:0:1:0
ellipse_102	stillgrave_ringbarrows:-1470:2519:0:1:0
ellipse_103	stillgrave_ringbarrows:-2130:2521:0:1:0
ellipse_104	stillgrave_ringbarrows:-1470:2521:0:1:0
ellipse_105	stillgrave_ringbarrows:-2121:2578:0:1:0
ellipse_106	stillgrave_ringbarrows:-1479:2578:0:1:0
ellipse_107	stillgrave_ringbarrows:-2062:2672:0:1:0
ellipse_108	stillgrave_ringbarrows:-1538:2672:0:1:0
ellipse_109	stillgrave_ringbarrows:-1977:2731:0:1:0
ellipse_110	stillgrave_ringbarrows:-1623:2731:0:1:0
ellipse_111	stillgrave_ringbarrows:-1851:2767:0:1:0
ellipse_112	stillgrave_ringbarrows:-1749:2767:0:1:0
ellipse_113	stillgrave_ringbarrows:-1802:2770:0:1:0
ellipse_114	stillgrave_ringbarrows:-1801:2770:0:1:0
ellipse_115	stillgrave_ringbarrows:-1799:2770:0:1:0
ellipse_116	stillgrave_ringbarrows:-1798:2770:0:1:0
ellipse_117	ossuary_gravewoods:-2321:1610:0:1:0
ellipse_118	ossuary_gravewoods:-2319:1610:0:1:0
ellipse_119	ossuary_gravewoods:-2440:1645:0:1:0
ellipse_120	ossuary_gravewoods:-2200:1645:0:1:0
ellipse_121	ossuary_gravewoods:-2489:1717:0:1:-120
ellipse_122	ossuary_gravewoods:-2151:1717:0:1:-120
ellipse_123	ossuary_gravewoods:-2489:1743:0:1:-120
ellipse_124	ossuary_gravewoods:-2151:1743:0:1:-120
ellipse_125	ossuary_gravewoods:-2440:1815:0:1:0
ellipse_126	ossuary_gravewoods:-2200:1815:0:1:0
ellipse_127	ossuary_gravewoods:-2321:1850:0:1:0
ellipse_128	ossuary_gravewoods:-2319:1850:0:1:0
ellipse_129	blackwind_bonearches:-1851:500:0:1:0
ellipse_130	blackwind_bonearches:-1849:500:0:1:0
ellipse_131	blackwind_bonearches:-1978:528:0:1:0
ellipse_132	blackwind_bonearches:-1722:528:0:1:0
ellipse_133	blackwind_bonearches:-2043:578:0:1:0
ellipse_134	blackwind_bonearches:-1657:578:0:1:0
ellipse_135	blackwind_bonearches:-2043:722:0:1:0
ellipse_136	blackwind_bonearches:-1657:722:0:1:0
ellipse_137	blackwind_bonearches:-1978:772:0:1:0
ellipse_138	blackwind_bonearches:-1722:772:0:1:0
ellipse_139	blackwind_bonearches:-1851:800:0:1:0
ellipse_140	blackwind_bonearches:-1849:800:0:1:0
