schema	grug_wp40_simple_map_v1e_r3_preflight_v1
layout_id	wp40-simple-map-v1d
layout_revision_id	wp40-simple-map-v1e
source_schema	grug_wp40_simple_map_source_v2
height_schema	grug_wp40_simple_map_height_v1
seed_count	4
r2_body_sha256	1a819192fa40254aa6da1ebf5f3fa5286790ef907abe09750455e5e24c881a8b
r2_file_sha256	ba6e684b232e963251c3582e521c46a9364d602256eba9b6115bd0575e4c9c4b
r2_hydrology_contact_roster_sha256	904c548d4679596467ca72e0a0cf86de9248189dee97fcc37321e20700d8e0f7
input_sha256	mods/MAPGEN/grug_mapgen/wp40/canonical.lua	28022454cadac7aba838873c955ce4ab5c96ff995efef2bc729490b309935716
input_sha256	mods/MAPGEN/grug_mapgen/wp40/deterministic.lua	ddf478e4fc0714a0551325e88550ef900e86e318091e11938b82ab51542275e9
input_sha256	mods/MAPGEN/grug_mapgen/wp40/height.lua	f69fcd006af40f2f473d592c412508c3d7043403b15c07bfedcb311fe6faee97
input_sha256	mods/MAPGEN/grug_mapgen/wp40/schemas.lua	1f3825d1b77972637c850fad32a56a3a0fe08962b14b6c1b107846b7b0004166
input_sha256	mods/MAPGEN/grug_mapgen/wp40/simple_map.lua	55e507a6e5b2d73bf23233d9ab5e515ad150dbce77c6dc6c158a6133f4e27dfc
input_sha256	mods/MAPGEN/grug_mapgen/wp40/source/simple_map.lua	5d4e2726dabbb900e47e7a8bef2a225011e6b003f48de485f752cde88fc7c17f
input_sha256	tools/wp40/run_simple_map_r3.sh	ead8f997ef9062ba501697bc1f494f598299ec7a1c14f0ea5799399cf045f6fd
input_sha256	tools/wp40/simple_map_r3_artifact.lua	d2b6c4ef07ce10dee4f3dc1be201dc2f9e37da7894c2456edb26a1e818c95909
input_sha256	tools/wp40/simple_map_r3_common.lua	8f5ea731559d647ac0851dcd172f6ce967795905c76f22c7177d7d73a37ac57c
input_sha256	tools/wp40/simple_map_r3_kat.lua	533bb2fb529d2ab30b134b5e009fe88979156f3464123bc1a31cc84d457d5a74
input_sha256	tools/wp40/simple_map_r3_offline.lua	621482ba34a4572014b80979f854b1a9ba5f7882eec764863c219fdab564544b
input_sha256	tools/wp40/simple_map_r3_selftest.lua	1b14e41d90f6d28309f6dfa1895f2a0610947d134e52dc9b49986f5391771c6c
input_sha256	tools/wp40/simple_map_r3_validate.lua	3478c5ac2e1161e8636197daaad7771914cf1e7adf152d497250356556c77ce4
input_sha256	tools/wp40/simple_map_v1e_r3_preflight.lua	a8000cabc1b37e4ff4457ea13d48e9c655fec82df76beaa82611a55e1616d1b8
seed_evidence_sha256	0	dffe10e8413e5408aff3221d6e21ec2667ac6ffc6bbb517861e62496a1fced86
seed_canonical_kat_sha256	0	2616941e9cf08618345259dcba1e312251ec4167f6d676aeb465a837abb699bc
seed_relief_lattice_sha256	0	457ccfb251eac8962e92f2d7ab750558fdeebe739af3707f3d6e26d06aaf881f
seed_route_sha256	0	d83cb984099b5bf0057d480e62747026fb6868c9cbfda8437046e3be5904c095
seed_operation_sha256	0	d2086fe6f8387ff98193972344c4ee9a09f28801f005ef04877e7fea198889ac
seed_visible_surface_sha256	0	4e089d32a021876d248b3889b5d935f52fe5f5ba10ffd249d8c3e84148fac946
seed_evidence_sha256	1	f977bfcdf561adc0faa2207a2892e45a5321aabb91947a464d1f6a6e2ebe80c1
seed_canonical_kat_sha256	1	c3438213875b2665551498301270051b33c9f3cbbb48228e825c3f64977d0c65
seed_relief_lattice_sha256	1	15c6c7afe9470e53bd0e156448e2aa325170bce9649e2a808df44d15857fe1ac
seed_route_sha256	1	22b324f77b0de95ebf9a1ba2937f413fa2cf4b3c8f05666ce999ad7b27703b0c
seed_operation_sha256	1	65d55501ede33f132d44f4ff35a6ba00047db91860740f9304655ce07320ac51
seed_visible_surface_sha256	1	e5695732239b56986ffdc54786a6bf541f418de47efd1cd4c1f2d4c928679fa1
seed_evidence_sha256	9223372036854775808	f38594b3a360c457ad2f0b550397a4a56edd47441c67ef296baa52474e16990e
seed_canonical_kat_sha256	9223372036854775808	ccc5f2282084f93840e88abd34904c48d9c833811de23f861832e2be59c453b5
seed_relief_lattice_sha256	9223372036854775808	79a132b6a7defb2973a908d807e86debf4d557ee6734784d3e6cf172b3539fb3
seed_route_sha256	9223372036854775808	5ce5be298cd333a10834a2af7855d40107d51eb5aee131e31e42986e36b52c59
seed_operation_sha256	9223372036854775808	d444d3e08d3c53febe6131773a3d0aedbc4b6fbd42874f91181704589fb1119a
seed_visible_surface_sha256	9223372036854775808	48fd6787c99bfc07000d1bb6271d76aa15335c4f6c6eec747519c9e76455ce27
seed_evidence_sha256	18446744073709551615	7f313fb3f1d9f1c04f35cc51310a12e9a9e3bd90f20883d3d1935ccbb301b5e4
seed_canonical_kat_sha256	18446744073709551615	90d10cc02930582d1838cd9c0d095575efbce8b71cb7912d510371d456707ba7
seed_relief_lattice_sha256	18446744073709551615	84647fad300443bacc98ccaaed1446623f51c997765e162f426e0b78a5297eea
seed_route_sha256	18446744073709551615	8657922da38b943d6262adfe9a583e100f9f68094357e65e7569af0803ca8a0e
seed_operation_sha256	18446744073709551615	1178b8d175370a06d3e5191bb132f9089923011231ab715e43b8555eed6427a5
seed_visible_surface_sha256	18446744073709551615	befd3d6c8958a380ca24051b72499106e362fc17b77dc6548b9ab366ec46ca22
evidence_map	height	1
evidence_map	height/preflight	4
evidence_map	height/preflight/seed_01	2
evidence_map	height/preflight/seed_01/result	7
evidence_map	height/preflight/seed_01/result/family_counts	22
evidence	height/preflight/seed_01/result/family_counts/anchors	number	100
evidence	height/preflight/seed_01/result/family_counts/coastal_cores	number	4
evidence	height/preflight/seed_01/result/family_counts/contact_face_waterfalls	number	3
evidence	height/preflight/seed_01/result/family_counts/derived_water_runs	number	4387
evidence	height/preflight/seed_01/result/family_counts/exterior_witnesses	number	4
evidence	height/preflight/seed_01/result/family_counts/ford_approach_summaries	number	2
evidence	height/preflight/seed_01/result/family_counts/ford_approaches	number	1
evidence	height/preflight/seed_01/result/family_counts/hard_protection	number	42
evidence	height/preflight/seed_01/result/family_counts/hydrology	number	25
evidence	height/preflight/seed_01/result/family_counts/interfaces	number	15
evidence	height/preflight/seed_01/result/family_counts/landings	number	4
evidence	height/preflight/seed_01/result/family_counts/landmarks	number	70
evidence	height/preflight/seed_01/result/family_counts/named_water_operations	number	7
evidence	height/preflight/seed_01/result/family_counts/octave_lattices	number	13
evidence	height/preflight/seed_01/result/family_counts/primary_profiles	number	6
evidence	height/preflight/seed_01/result/family_counts/relief_roots	number	6
evidence	height/preflight/seed_01/result/family_counts/route_exact_pins	number	284
evidence	height/preflight/seed_01/result/family_counts/route_raise_witnesses	number	2030
evidence	height/preflight/seed_01/result/family_counts/route_water_lower_bounds	number	5107
evidence	height/preflight/seed_01/result/family_counts/routes	number	139
evidence	height/preflight/seed_01/result/family_counts/stations	number	38
evidence	height/preflight/seed_01/result/family_counts/tunnels	number	2
evidence_map	height/preflight/seed_01/result/family_numeric_extrema	22
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors	27
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors/approved_candidate_index	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/approved_candidate_index/count	number	100
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/approved_candidate_index/maximum	number	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/approved_candidate_index/minimum	number	0
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors/blend_width	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/blend_width/count	number	100
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/blend_width/maximum	number	704
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/blend_width/minimum	number	64
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_witness_x	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_witness_x/count	number	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_witness_x/maximum	number	1990
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_witness_x/minimum	number	-146
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_witness_z	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_witness_z/count	number	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_witness_z/maximum	number	1490
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_witness_z/minimum	number	-1756
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_y	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_y/count	number	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_y/maximum	number	65
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_max_clearance_y/minimum	number	35
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_water_columns	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_water_columns/count	number	100
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_water_columns/maximum	number	46414
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/civic_water_columns/minimum	number	0
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors/collar_columns	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/collar_columns/count	number	100
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/collar_columns/maximum	number	188035
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/collar_columns/minimum	number	2820
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors/collar_width	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/collar_width/count	number	100
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/collar_width/maximum	number	96
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/collar_width/minimum	number	16
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors/fitting_columns	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/fitting_columns/count	number	100
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/fitting_columns/maximum	number	262144
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/fitting_columns/minimum	number	1024
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors/fitting_width	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/fitting_width/count	number	100
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/fitting_width/maximum	number	512
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/fitting_width/minimum	number	32
evidence_map	height/preflight/seed_01/result/family_numeric_extrema/anchors/numeric_id	3
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/numeric_id/count	number	100
evidence	height/preflight/seed_01/result/family_numeric_extrema/anchors/numeric_id/maximum	number	100
