slot	class	label	sha256	first_eight_hex	seed_decimal_text
1	literal	literal	-	-	0
2	literal	literal	-	-	1
3	literal	literal	-	-	2
4	literal	literal	-	-	42
5	literal	literal	-	-	1013
6	literal	literal	-	-	20260812
7	literal	literal	-	-	2147483647
8	literal	literal	-	-	2147483648
9	literal	literal	-	-	2147483649
10	literal	literal	-	-	4294967295
11	literal	literal	-	-	4294967296
12	literal	literal	-	-	4294967297
13	literal	literal	-	-	6442450943
14	literal	literal	-	-	6442450944
15	literal	literal	-	-	8589934591
16	literal	literal	-	-	9007199254740991
17	literal	literal	-	-	9007199254740992
18	literal	literal	-	-	9007199254740993
19	literal	literal	-	-	18446744073709551615
20	literal	literal	-	-	1181064378178512398
21	sha256_label	grudgelands-wp40-seed-01	7ff24c89bd170c96998174d1c6cb47fae6d53aa397956633ec017806d8319f07	7ff24c89bd170c96	9219515541647461526
22	sha256_label	grudgelands-wp40-seed-02	64b9a653b4f2b7d8d762f170427314dda639b603382fb88bbc50344f11890af6	64b9a653b4f2b7d8	7258015152932567000
23	sha256_label	grudgelands-wp40-seed-03	86ab5f801cd4b1b7aec86fd2dbd1969fe540bbe152e7e5a46c433c9b384cfa0c	86ab5f801cd4b1b7	9703954825944019383
24	sha256_label	grudgelands-wp40-seed-04	6227ead45bd6f519c280727f8606445c2cc04481c6969ceee9ea4807556d6f46	6227ead45bd6f519	7072879937603433753
25	sha256_label	grudgelands-wp40-seed-05	60fa4f248299865b0e9873dccd1969569ddb826bf015627e210ddcdaf653d7b0	60fa4f248299865b	6987984790047262299
26	sha256_label	grudgelands-wp40-seed-06	70abe95007b0c37179d4a08f776121f9035d8eae8941c0308c9f290a2ed8d43b	70abe95007b0c371	8118839283201131377
27	sha256_label	grudgelands-wp40-seed-07	ca35a2ab2280852a40bcaf678d998cb29c33a0b376499507d77acaad2bb0c9f8	ca35a2ab2280852a	14570731025329063210
28	sha256_label	grudgelands-wp40-seed-08	6c8c68d937b5c3e19c702ec9e7bb5aec707724b2fb3fdcf5d9b599cf348ead8c	6c8c68d937b5c3e1	7821741934987559905
29	sha256_label	grudgelands-wp40-seed-09	9e33c9e05fe7db7cd3abd4221dbef425166daf976892726e966729ae097ef52a	9e33c9e05fe7db7c	11399677047323745148
30	sha256_label	grudgelands-wp40-seed-10	df2217aa021576ce21b469543fc545c0f928452a761d96f4685e22f199d1adb4	df2217aa021576ce	16078439638612932302
31	sha256_label	grudgelands-wp40-seed-11	cd91aaad578bfc1000a27da563036c107c2b407c39eaad20c8bbeb8738e870b9	cd91aaad578bfc10	14812808310873127952
32	sha256_label	grudgelands-wp40-seed-12	5282a37f8c162cfc77aceded6208b7b2b108a506464e0b999cad3e89061d783a	5282a37f8c162cfc	5945494226288913660
