resource_key	scope	first_tier	first_tier_authority	t1_host_nodes_per_ore	t2_host_nodes_per_ore	t3_host_nodes_per_ore	t4_host_nodes_per_ore	t5_host_nodes_per_ore	t6_ordinary_host_nodes_per_ore	max_nodes_per_vein	vein_cap_authority	deep_1500_1999_multiplier	deep_2000_floor_multiplier	deep_multiplier_direction	deep_multiplier_authority	density_authority	note
coal	universal	1	approved_D2_2026-08-28_validated_against_wp43	128	128	128	128	128	128	8	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	approved_D2_2026-08-28	Mined Coal remains a resource distinct from fuel substitution.
copper	universal	1	approved_D2_2026-08-28_validated_against_wp43	256	256	256	256	256	256	8	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	approved_D2_2026-08-28	Bronze input.
tin	universal	1	approved_D2_2026-08-28_validated_against_wp43	384	384	384	384	384	384	8	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	approved_D2_2026-08-28	Bronze input; deliberately less common than Copper.
iron	universal	1	approved_D2_2026-08-28_validated_against_wp43	128	128	128	128	128	128	8	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	approved_D2_2026-08-28	Iron and Steel spine.
quartz	universal	1	approved_D2_2026-08-28_validated_against_wp43	256	256	256	256	256	256	8	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	approved_D2_2026-08-28	Universal Goldsmith reagent.
gold	universal	2	approved_D2_2026-08-28_validated_against_wp43	-	1024	1024	1024	1024	1024	4	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	approved_D2_2026-08-28	Luxury and Goldsmith material, never a tool metal.
silver	universal	3	approved_D2_2026-08-28_validated_against_wp43	-	-	1024	1024	1024	1024	4	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	approved_D2_2026-08-28	Silversteel input.
emberglass	universal	4	approved_D2_2026-08-28_validated_against_wp43	-	-	-	2048	2048	2048	4	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	approved_D2_2026-08-28	Embersteel input; canonical WP43 node only.
citrine	regional_g1	2	approved_D2_2026-08-28_validated_against_wp43	-	12000	6000	3000	3000	3000	3	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	approved_D2_2026-08-28_plus_wp43_shape	Only in race regions whose WP43 G1 assignment is Citrine.
garnet	regional_g1	2	approved_D2_2026-08-28_validated_against_wp43	-	12000	6000	3000	3000	3000	3	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	approved_D2_2026-08-28_plus_wp43_shape	Only in race regions whose WP43 G1 assignment is Garnet.
jade	regional_g1	2	approved_D2_2026-08-28_validated_against_wp43	-	12000	6000	3000	3000	3000	3	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	approved_D2_2026-08-28_plus_wp43_shape	Only in race regions whose WP43 G1 assignment is Jade.
diamond	regional_g2	4	approved_D2_2026-08-28_validated_against_wp43	-	-	-	12000	6000	3000	2	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	wp43_registry	Only in race regions whose WP43 G2 assignment is Diamond.
sapphire	regional_g2	4	approved_D2_2026-08-28_validated_against_wp43	-	-	-	12000	6000	3000	2	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	wp43_registry	Only in race regions whose WP43 G2 assignment is Sapphire.
ruby	regional_g2	4	approved_D2_2026-08-28_validated_against_wp43	-	-	-	12000	6000	3000	2	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	wp43_registry	Only in race regions whose WP43 G2 assignment is Ruby.
abyssal_crystal	universal	5	approved_D2_2026-08-28_validated_against_wp43	-	-	-	-	2048	2048	2	approved_D2_2026-08-28	5/4	3/2	node_budget	wp43_registry	wp43_registry	T5 entry band must support an Abyssal Steel pick without T6 access.
