schema	grug_wp40_r8_performance_baseline_v1
production_commit	7e9284ffcd71b445efcdfde7cee39534bbf8ef35
runner_sha256	71b1835b890537a6e07000d3eb2fd20eb8b417407e8975e882cf46be0bc1306e
wrapper_sha256	621fef7a2ecf556c5e82bee11e885a0e2b4d907a5e6c01e2d7c212955c734b4a
interpreter	luajit
execution	forward_and_reverse_concurrently_under_idle_priority
order	case	minp	plan_cpu_seconds	writer_cpu_seconds	classify_calls	modified_voxels	p9g_accepted	digest
forward	human_capital	-32,-32,-1552	2.207475	3.033562	11524758	440939	0	10de49e0be9d3cf81b41310ac0cf760434395786b44fbd23e6ea2081d27921b4
forward	goldmead_inland_housing	-32,-32,-2112	1.905105	4.131683	9723351	79216	0	eb2bbc81398f1044df160cc4cb13cbc581f7791789d7b1aa3f7d69395b0c39e0
forward	wyrmglass_channel	-2752,-32,-32	0.654607	0.359496	8794778	160000	0	1f555895a01c3454fc570beb69681966653aa1c0f2bd7ef72d6a2fc30c70b936
forward	copperfell_shelf	-2672,-32,-2272	0.816547	0.290294	8794778	160000	0	1f555895a01c3454fc570beb69681966653aa1c0f2bd7ef72d6a2fc30c70b936
forward	deep_cross_border_resource	-1712,-912,128	2.159271	0.114096	0	0	0	edfee2a36906001526e78ee8ac0c42c0800c24dcb658993e680c664825d5d053
forward	capital_high_slice	-32,208,-1552	2.415016	0.049805	4096160	0	0	edfee2a36906001526e78ee8ac0c42c0800c24dcb658993e680c664825d5d053
reverse	capital_high_slice	-32,208,-1552	2.021060	0.046935	4096160	0	0	edfee2a36906001526e78ee8ac0c42c0800c24dcb658993e680c664825d5d053
reverse	deep_cross_border_resource	-1712,-912,128	2.205070	0.103327	0	0	0	edfee2a36906001526e78ee8ac0c42c0800c24dcb658993e680c664825d5d053
reverse	copperfell_shelf	-2672,-32,-2272	0.729241	0.312002	8794778	160000	0	1f555895a01c3454fc570beb69681966653aa1c0f2bd7ef72d6a2fc30c70b936
reverse	wyrmglass_channel	-2752,-32,-32	0.633789	0.335524	8794778	160000	0	1f555895a01c3454fc570beb69681966653aa1c0f2bd7ef72d6a2fc30c70b936
reverse	goldmead_inland_housing	-32,-32,-2112	1.577603	3.536618	9723351	79216	0	eb2bbc81398f1044df160cc4cb13cbc581f7791789d7b1aa3f7d69395b0c39e0
reverse	human_capital	-32,-32,-1552	2.616871	3.527838	11524758	440939	0	10de49e0be9d3cf81b41310ac0cf760434395786b44fbd23e6ea2081d27921b4
summary	forward	construction_cpu_seconds	4.099655	elapsed_seconds	23.76	max_rss_kib	840152	lua_heap_bytes_after_collect	418436792
summary	reverse	construction_cpu_seconds	4.687846	elapsed_seconds	23.74	max_rss_kib	974348	lua_heap_bytes_after_collect	420145272
canonical_digest	forward	d058a5bcd517348c67eb83b9957422d2c3e43cdbf000dcb4981ee6ca668a5dd4
canonical_digest	reverse	d058a5bcd517348c67eb83b9957422d2c3e43cdbf000dcb4981ee6ca668a5dd4
