schema	grug_wp40_r7_run_receipt_v3
proof_scope_fleet	32_seed_stratified_4096_owner_main_plus_7_seed_3206_owner_frontier_access
acceptance_scope	32_seed_main_plus_7_seed_static_frontier_successor_lane_not_exhaustive
projection_sha256	cee93f628c528843a91e979ee99c9e1c330079e8cfa93d30831b84cc8ae64d10
accepted_r6_artifact_sha256	bb3e9674b768f7ef14fc0a703d0dc97022e9767d0c532b48cd5f1c0c741257b4
production_r6_content_sha256	aa5d4f3204961e988996eb635737c106974e7a156280c050fef00bebce2826c6
p9g_content_sha256	39d47d632933fac63b7fe6c82f94d4e21d6a44d47a6f91539b0d3dee7e637c26
p9g_delta_sha256	1be34a63db318c1418a7fd5841a64e93d901e97b91f1953b3bb82acc836b55d7
seed_population	32
sample_owner_population_per_seed	128
sample_case_population	4096
sample_column_visit_population	25448992
sample_surface_coverage_column_population	15155104
sample_zone_biome_population	97
p9g_source_population	12
inherited_cultural_access_count	12
p9g_nonzero_source_population	8
p9g_operation_count	23710
p9g_accepted_count	11537
p9g_rejected_count	12173
p9g_access_gate_count	8
p9g_parity_gate_count	8
p9g_parity_policy	advisory_non_blocking
p9g_parity_advisory_failure_count	2
p9g_parity_advisory_insufficient_count	1
frontier_access_schema	grug_wp40_r7_frontier_access_roster_v1
frontier_access_roster_sha256	6c52c5aa90b21ff21f5d5b695c5b50adcc2c329a5722362f37e82dde11718341
frontier_access_seed_population	7
frontier_access_seed_slots	1,6,11,17,22,27,32
frontier_access_owner_population_per_seed	458
frontier_access_case_population	3206
frontier_access_column_visit_population	20518400
frontier_access_zone_population	4
frontier_access_source_population	4
frontier_access_source_faction_gate_population	8
frontier_access_operation_count	6004
frontier_access_accepted_count	4111
frontier_access_rejected_count	1893
canonical_worker_order	seed_slot
artifact_sha256	cec554dd14aa7428f9391f3728b8b38f13437be0863044754fd9d9b248ce791f
stage_a_sha256	ec2b8975c16b52a3eb8c085d67678d9764611758f2793cac132d92a366c2958b
stage_b_sha256	377c12aec2b19fd6dbce4ba7a9222ba8fee4dfe00990804596c386109f950037
p9g_sha256	9c73ac50bbf6484655a8e659ac7baadb7f097f55be48ca7e191adc4ca8aea2a0
frontier_access_sha256	86dda65d81b121020c097f5ffcdcbfac4e63ffa3a03552ec467ae4dbcfda08dd
