event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=25045040
event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=13505316
event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=15825681
event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=616361
event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=100388
event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=681732
event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=520493
event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=98695
event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=91232
event=mapchunk case=core mapchunk=-1872:128:-1552 kind=capital elapsed_us=1155865
event=mapchunk case=core mapchunk=-1792:128:-1552 kind=capital elapsed_us=718768
event=mapchunk case=core mapchunk=-1872:128:-1472 kind=capital elapsed_us=746685
event=mapchunk case=core mapchunk=-1792:128:-1472 kind=capital elapsed_us=581156
event=mapchunk case=plot_forge_charcoal mapchunk=-1792:128:-1632 kind=capital elapsed_us=709573
event=mapchunk case=plot_forge_smithy mapchunk=-1712:48:-1552 kind=capital elapsed_us=841100
event=mapchunk case=plot_forge_guild_house mapchunk=-1712:48:-1472 kind=capital elapsed_us=661985
event=mapchunk case=plot_forge_quench_court mapchunk=-1632:48:-1552 kind=capital elapsed_us=775987
event=mapchunk case=plot_forge_watch mapchunk=-1632:48:-1472 kind=capital elapsed_us=630687
event=mapchunk case=plot_forge_copse mapchunk=-1712:48:-1632 kind=capital elapsed_us=734842
event=mapchunk case=plot_forge_copse mapchunk=-1712:128:-1632 kind=capital elapsed_us=97661
event=mapchunk case=run_avenue_south mapchunk=-1872:48:-1792 kind=capital elapsed_us=957956
event=mapchunk case=run_avenue_south mapchunk=-1872:128:-1792 kind=capital elapsed_us=124730
event=mapchunk case=run_avenue_south mapchunk=-1872:48:-1712 kind=capital elapsed_us=753782
event=mapchunk case=run_avenue_south mapchunk=-1872:128:-1712 kind=capital elapsed_us=194141
event=mapchunk case=run_avenue_south mapchunk=-1872:48:-1632 kind=capital elapsed_us=943371
