schema	grug_wp40_real_engine_profile_v2
cold_generated_blocks	8
cold_mapgen_callbacks	97
disk_loaded_blocks	1250
disk_mapgen_callbacks	0
sample_digest	0bf5fe5a9b7cc0e3a27f59bc115c8e48454e28d587705587d9af46b716841ddc
full_digest	4bc7438edfe1ecfa871fdc39c2ada49d7c59b57769e037fd7d6c3fa627812a9a
full_vocabulary_digest	4e8a007fcfbf1bd61a7aea8bcdb73a285172bdb3c85955948fd799a42aa8c02b
full_voxels	49664000
full_owners	97
snapshot_manifest_sha256	68c6993152d1771e84d77cc7017264916db4de37add0da0cd748715a203f3bb1
