filename	bytes	sha256
conformance-puc-v3.tsv	4918	fe52c0bcb1540423a1089cd144be042eadbaf2cb1f4f24d015757c7685639d32
rescore-puc-v3-0000.tsv	1535	bd22f0ca57093d9c027c67d884e86efc998418b4fc088f793b09d46df6a175dc
rescore-puc-v3-0511.tsv	1538	7920dc7bd02254e32904adff26113217b18878505becf57954d8f73799678290
rescore-puc-v3-0512.tsv	1538	239ceacdeefb442c593880d6849c2debb0dba32c15c24de8d4653cd4d8656199
rescore-puc-v3-1023.tsv	1538	8ddaa9b801d489f3818e61bd53153e7c53beb1183e6ed16446cfae83c54b40b3
rescore-puc-v3-1024.tsv	1539	9c7fc13b631b4869327432d761bc77bcf98129674cf0c5d7ef015dfe1c46257e
rescore-puc-v3-1047.tsv	1537	707fbc121377f5097e85a7156b06e19b7b72d05e9b46891f83825e5f88827dda
rescore-puc-v3-1535.tsv	1539	ed2e191ebc9f9c1a3a87f5c603aed74e8ea6fbb9407727db441608a7c166afc8
rescore-puc-v3-1536.tsv	1538	9b90ebae7f6ceae7bcaa5ebd2a1d4b7201e593c4b30dc12e9e38fe8093e15e80
rescore-puc-v3-1713.tsv	1537	1864333a77ee23f16aa4026927cbaf99ebf47e0e4cfe06269b261cb5304ed243
rescore-puc-v3-2047.tsv	1539	6ef22466fae7606227eedf359da8b9aaacd7a92613b9ac33782a10b74d32a746
rescore-puc-v3-2048.tsv	1539	29508f8c882ed1fd526fa6b8804d0e81d87179bd7a0beb91561920a12a0cc4c4
rescore-puc-v3-2192.tsv	1536	02635f1df2696ddd902140f91b07ac3eaec0e7da8d624de645a23ea50cb4a6f6
rescore-puc-v3-2559.tsv	1538	95e591d877d0ae54b9ce0eb25e8270df3fdb96152c2144291d1c7e9844d376a5
rescore-puc-v3-2560.tsv	1537	7aea634b593bf4fd44e6d72f6627b84d224bd5ec27c61b309516119b2dbe2d05
rescore-puc-v3-3071.tsv	1537	fd783a0b400c90e6cb8f082625768342f4cafd2d03f2c7c26ee495e4215f98e0
rescore-puc-v3-3072.tsv	1538	a4acef78315c87e1eef7ba85b46f40dbbce4d89f55c1bf1c7b20ea99f41c4fd1
rescore-puc-v3-3438.tsv	1537	9ea5a82b332a69854149d85c557374beeb7cecfbeac8762b0672ad68c3b435ba
rescore-puc-v3-3583.tsv	1539	8d5c82066d4b8ed3d847c02a62bed48832f241f5d0840abfccd91be1fb6a6ff4
rescore-puc-v3-3584.tsv	1539	4acbc9acb98daf229d1f6371bbc05aea1b214c7f1491c82d87b2b8f9f942d9c5
rescore-puc-v3-4095.tsv	1539	ff2bad693b41d32909c2f881f8e1ec01fd6031c197adeec89515d8b96f8313ed
selected-puc-v3-slot28.tsv	1734	517ce0c6b18b6a188db3205972e4701474b7ef68bd4e938dc3372abca79fc9bd
selected-puc-v3-slot29.tsv	1732	014200352559e6846b5868dac9e4dc44560caee1c491c98af4f326ba3f4f4eea
selected-puc-v3-slot30.tsv	1738	47921018419beadd0d168354aa09e83327b01a212a02e9533105859d5be3e879
selected-puc-v3-slot31.tsv	1735	94f064f2131ea000f39b6cdb21bdaec438ae8235226be4ed86eb2dd57d53247c
