ACTION[Main]: GRUG_WP13_HIGHCOURT event=start engine=5.17.0 seed=531802985935182545 manifest=f19c5cdccd27c75e882d050360f01651139b1ffe8ac0b203eb27a14b53bb1624 sockets_registered=201 anchor=0,40,-1500 mode=full build_us=module_load=12789,core=133158,plot_market_granary=7158,plot_market_stable=5839,plot_market_workshop=7090,plot_market_counting_house=7721,plot_market_well=3199,plot_market_watch=8554,plot_market_grove=7698,plot_market_orchard=5594,plot_market_store=5072
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time module_load=12789
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time core=133158
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_granary=7158
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_stable=5839
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_workshop=7090
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_counting_house=7721
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_well=3199
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_watch=8554
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_grove=7698
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_orchard=5594
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_store=5072
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket sockets=105
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_guard_patrol=28
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_guard_post=13
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_idle=59
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_king=1
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_quest=1
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_vendor=2
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_waypoint=1
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loops=6
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_gate_east_tower=2
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_gate_north_tower=2
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_gate_south_tower=2
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_gate_west_tower=2
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_market_watch=10
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_watch=10
ACTION[Main]: GRUG_WP13_HIGHCOURT event=corpus mapchunks=47
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=21472815
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=11671779
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=13975984
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=447916
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=181422
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=558388
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=472597
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=177651
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=181069
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=core mapchunk=-112:-32:-1552 kind=capital elapsed_us=1026419
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=core mapchunk=-32:-32:-1552 kind=capital elapsed_us=604753
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=core mapchunk=-112:48:-1552 kind=capital elapsed_us=194114
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=core mapchunk=-32:48:-1552 kind=capital elapsed_us=154539
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=core mapchunk=-112:-32:-1472 kind=capital elapsed_us=704229
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=core mapchunk=-32:-32:-1472 kind=capital elapsed_us=555168
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=core mapchunk=-112:48:-1472 kind=capital elapsed_us=146528
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=core mapchunk=-32:48:-1472 kind=capital elapsed_us=163620
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=plot_market_granary mapchunk=48:-32:-1552 kind=capital elapsed_us=614426
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=plot_market_granary mapchunk=48:48:-1552 kind=capital elapsed_us=174850
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=plot_market_stable mapchunk=48:-32:-1472 kind=capital elapsed_us=684047
