anchor 1800 66 1500
         56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84
   122  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   123  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   124  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   125  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   126  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   127  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   128  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   129  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   130  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   131  65  65  65  65  65  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   132  65  65  65  65  65  65  65  65  65  65  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   133  48  48  45  45  45  65  65  65  65  65  65  65  65  65  65  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   134  45  42  45  42  39  39  39  39  39  39  65  65  65  65  65  65  65  65  65  65  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   135  42  42  39  39  37  37  39  37  37  37  37  37  37  37  36  65  65  65  65  65  65  65  66  66  65  55~ 55~ 55~ 55~
   136  39  39  37  37  37  37  37  37  37  37  37  37  36  36  36  36  36  36  36  36  65  65  66  66  65  65  65  65  65 
   137  37  37  37  37  37  37  37  37  37  36  36  36  36  36  36  36  36  36  37  37  37  37  37  48  51  65  65  65  65 
   138  37  37  37  37  36  36  36  36  36  36  36  36  36  36  36  36  37  37  37  37  37  37  39  48  45  48  51  48  51 
   139  37  37  36  36  36  36  36  36  36  36  36  36  36  36  37  37  37  37  37  37  38  39  39  42  43  45  45  45  48 
   140  36  36  36  36  36  36  36  36  36  36  36  36  36  37  37  37  37  37  38  38  38  39  40  42  42  43  43  45  46 
   141  36  36  36  36  36  36  36  36  36  36  36  36  37  37  37  37  38  38  38  39  39  39  40  40  42  42  42  45  45 
   142  36  36  36  36  36  36  36  36  36  36  36  37  37  37  37  38  38  39  39  39  39  40  40  40  40  40  42  40  42 
   143  36  36  36  36  36  36  36  36  36  36  36  37  37  37  38  38  39  39  39  39  39  39  40  40  40  40  40  40  42 
   144  36  36  36  36  36  36  36  36  36  36  37  37  37  38  38  39  39  39  39  39  39  39  39  40  40  40  40  40  40 
   145  36  36  36  36  36  36  36  36  36  36  37  37  37  38  39  39  39  39  39  39  39  40  40  40  40  40  40  40  41 
   146  36  36  36  36  36  36  36  36  36  36  37  37  38  38  39  39  39  39  39  39  40  40  40  40  40  41  41  41  41 
   147  36  36  36  36  36  36  36  36  36  37  37  37  38  39  39  39  39  39  39  40  40  40  40  41  41  41  42  42  42 
   148  36  36  36  36  36  36  36  36  36  37  37  37  38  39  39  39  39  39  40  40  40  40  41  41  42  42  42  42  42 
   149  36  36  36  36  36  36  36  36  36  37  37  38  38  39  39  39  39  40  40  40  40  41  41  42  42  42  42  43  43 
   150  36  36  36  36  36  36  36  36  36  37  37  38  39  39  39  39  40  40  40  40  41  41  42  42  42  43  43  43  43 
