id	reach	slack	cells	clear_to	bounding box
canopy_watchpost	13	6	3880	14	x -7..7 z -7..7 y -6..14
canopy_house_a	13	5	4077	11	x -8..8 z -8..8 y -6..11
canopy_house_b	13	5	3788	10	x -8..8 z -8..8 y -6..10
shore_tailor	13	5	4077	11	x -8..8 z -8..8 y -6..11
totem_house_a	13	5	4077	11	x -8..8 z -8..8 y -6..11
vine_herbalist	13	5	3788	10	x -8..8 z -8..8 y -6..10
vine_house_a	13	5	4077	11	x -8..8 z -8..8 y -6..11
vine_house_b	13	5	3788	10	x -8..8 z -8..8 y -6..10
vine_house_c	13	5	4655	13	x -8..8 z -8..8 y -6..13
vine_house_d	13	5	4077	11	x -8..8 z -8..8 y -6..11
canopy_carvers	13	4	4692	10	x -9..9 z -9..9 y -6..10
canopy_well	13	4	3970	8	x -9..9 z -9..9 y -6..8
shore_carvers	13	4	4692	10	x -9..9 z -9..9 y -6..10
shore_market	13	4	3970	8	x -9..9 z -9..9 y -6..8
shore_smokehouse	13	4	3455	9	x -9..9 z -7..7 y -6..9
shore_well	13	4	3970	8	x -9..9 z -9..9 y -6..8
totem_carvers	13	4	4692	10	x -9..9 z -9..9 y -6..10
totem_well	13	4	3970	8	x -9..9 z -9..9 y -6..8
vine_well	13	4	3970	8	x -9..9 z -9..9 y -6..8
canopy_hall	13	3	5358	12	x -8..8 z -10..10 y -6..12
canopy_stable	13	3	5001	11	x -10..10 z -8..8 y -6..11
canopy_store	13	3	5715	13	x -8..8 z -10..10 y -6..13
shore_house	13	3	5358	12	x -8..8 z -10..10 y -6..12
shore_store	13	3	5715	13	x -8..8 z -10..10 y -6..13
totem_hall	13	3	5358	12	x -8..8 z -10..10 y -6..12
totem_store	13	3	5715	13	x -8..8 z -10..10 y -6..13
vine_longhouse	13	3	5358	12	x -8..8 z -10..10 y -6..12
vine_moot	13	3	2841	9	x -10..10 z -5..5 y -6..9
vine_store	13	3	5715	13	x -8..8 z -10..10 y -6..13
canopy_armoury	13	2	5824	11	x -9..9 z -10..11 y -6..11
shore_butcher	13	2	5824	11	x -9..9 z -10..11 y -6..11
totem_scriptorium	13	2	6955	13	x -9..9 z -11..11 y -6..13
totem_shrine	13	1	11820	22	x -9..9 z -12..12 y -6..22
canopy_barracks_a	13	0	8398	12	x -10..10 z -13..13 y -6..12
canopy_barracks_b	13	0	8398	12	x -10..10 z -13..13 y -6..12
canopy_green	5	0	1410	8	x -5..5 z -5..5 y -6..8
canopy_muster	11	0	5730	8	x -11..11 z -11..11 y -6..8
canopy_pasture	11	0	5730	8	x -11..11 z -11..11 y -6..8
canopy_woodyard	8	0	3210	8	x -8..8 z -8..8 y -6..8
shore_gardens	11	0	5730	8	x -11..11 z -11..11 y -6..8
shore_green	5	0	1410	8	x -5..5 z -5..5 y -6..8
shore_logyard	8	0	3210	8	x -8..8 z -8..8 y -6..8
shore_vineyard	11	0	5730	8	x -11..11 z -11..11 y -6..8
shore_watch	13	0	8398	12	x -10..10 z -13..13 y -6..12
totem_graves	11	0	5730	8	x -11..11 z -11..11 y -6..8
totem_green	5	0	1410	8	x -5..5 z -5..5 y -6..8
totem_grove	8	0	3414	8	x -8..8 z -8..8 y -6..10
totem_posts	5	0	1410	8	x -5..5 z -5..5 y -6..8
vine_common	11	0	5730	8	x -11..11 z -11..11 y -6..8
vine_kitchen	5	0	1410	8	x -5..5 z -5..5 y -6..8
vine_park	8	0	3210	8	x -8..8 z -8..8 y -6..8
vine_terraces	11	0	5730	8	x -11..11 z -11..11 y -6..8
footprint_worst_slack	0
footprint PASS: every plot stands inside its own lot
