landmark_id	x	z	exact_inside	signed_inside	signed_distance_q
hearthpine_bowl	-1801	-2740	0	1	0
hearthpine_bowl	-1799	-2740	0	1	0
hearthpine_bowl	-2030	-2654	0	1	0
hearthpine_bowl	-1570	-2654	0	1	0
hearthpine_bowl	-2090	-2521	0	1	0
hearthpine_bowl	-1510	-2521	0	1	0
hearthpine_bowl	-2090	-2519	0	1	0
hearthpine_bowl	-1510	-2519	0	1	0
hearthpine_bowl	-2030	-2386	0	1	0
hearthpine_bowl	-1570	-2386	0	1	0
hearthpine_bowl	-1801	-2300	0	1	0
hearthpine_bowl	-1799	-2300	0	1	0
stormvault_arch	-1821	-780	0	1	0
stormvault_arch	-1819	-780	0	1	0
stormvault_arch	-1821	-520	0	1	0
stormvault_arch	-1819	-520	0	1	0
goldmead_orchard_slopes	-281	-2200	0	1	0
goldmead_orchard_slopes	-279	-2200	0	1	0
goldmead_orchard_slopes	-281	-1900	0	1	0
goldmead_orchard_slopes	-279	-1900	0	1	0
starbough_canopy_steps	1949	-2230	0	1	0
starbough_canopy_steps	1951	-2230	0	1	0
starbough_canopy_steps	1723	-2079	0	1	0
starbough_canopy_steps	2177	-2079	0	1	0
starbough_canopy_steps	1720	-2051	0	1	0
starbough_canopy_steps	2180	-2051	0	1	0
starbough_canopy_steps	1720	-2049	0	1	0
starbough_canopy_steps	2180	-2049	0	1	0
starbough_canopy_steps	1723	-2021	0	1	0
starbough_canopy_steps	2177	-2021	0	1	0
starbough_canopy_steps	1949	-1870	0	1	0
starbough_canopy_steps	1951	-1870	0	1	0
lethariel_crownlake	1799	-1720	0	1	0
lethariel_crownlake	1801	-1720	0	1	0
lethariel_crownlake	1765	-1718	0	1	0
lethariel_crownlake	1835	-1718	0	1	0
lethariel_crownlake	1546	-1547	0	1	0
lethariel_crownlake	2054	-1547	0	1	0
lethariel_crownlake	1540	-1501	0	1	0
lethariel_crownlake	2060	-1501	0	1	0
lethariel_crownlake	1540	-1499	0	1	0
lethariel_crownlake	2060	-1499	0	1	0
lethariel_crownlake	1546	-1453	0	1	0
lethariel_crownlake	2054	-1453	0	1	0
lethariel_crownlake	1765	-1282	0	1	0
lethariel_crownlake	1835	-1282	0	1	0
lethariel_crownlake	1799	-1280	0	1	0
lethariel_crownlake	1801	-1280	0	1	0
lorindor_silverorchards	899	-1690	0	1	0
lorindor_silverorchards	901	-1690	0	1	0
lorindor_silverorchards	736	-1654	0	1	0
lorindor_silverorchards	1064	-1654	0	1	0
lorindor_silverorchards	620	-1501	0	1	0
lorindor_silverorchards	1180	-1501	0	1	0
lorindor_silverorchards	620	-1499	0	1	0
lorindor_silverorchards	1180	-1499	0	1	0
lorindor_silverorchards	736	-1346	0	1	0
lorindor_silverorchards	1064	-1346	0	1	0
lorindor_silverorchards	899	-1310	0	1	0
lorindor_silverorchards	901	-1310	0	1	0
lorindor_berrymarsh	958	-1804	0	1	0
lorindor_berrymarsh	1202	-1804	0	1	0
lorindor_berrymarsh	958	-1676	0	1	0
lorindor_berrymarsh	1202	-1676	0	1	0
moonfall_crescent	2386	-1729	0	1	0
moonfall_crescent	2414	-1729	0	1	0
moonfall_crescent	2282	-1642	0	1	0
moonfall_crescent	2518	-1642	0	1	0
moonfall_crescent	2250	-1501	0	1	0
moonfall_crescent	2550	-1501	0	1	0
moonfall_crescent	2250	-1499	0	1	0
moonfall_crescent	2550	-1499	0	1	0
moonfall_crescent	2282	-1358	0	1	0
moonfall_crescent	2518	-1358	0	1	0
moonfall_crescent	2386	-1271	0	1	0
moonfall_crescent	2414	-1271	0	1	0
stillgrave_basin	-1801	2300	0	1	0
stillgrave_basin	-1799	2300	0	1	0
stillgrave_basin	-2030	2386	0	1	0
stillgrave_basin	-1570	2386	0	1	0
stillgrave_basin	-2090	2519	0	1	0
stillgrave_basin	-1510	2519	0	1	0
stillgrave_basin	-2090	2521	0	1	0
stillgrave_basin	-1510	2521	0	1	0
stillgrave_basin	-2030	2654	0	1	0
stillgrave_basin	-1570	2654	0	1	0
stillgrave_basin	-1801	2740	0	1	0
stillgrave_basin	-1799	2740	0	1	0
stillgrave_ringbarrows	-1802	2270	0	1	0
stillgrave_ringbarrows	-1801	2270	0	1	0
stillgrave_ringbarrows	-1799	2270	0	1	0
stillgrave_ringbarrows	-1798	2270	0	1	0
stillgrave_ringbarrows	-1851	2273	0	1	0
stillgrave_ringbarrows	-1749	2273	0	1	0
stillgrave_ringbarrows	-1977	2309	0	1	0
stillgrave_ringbarrows	-1623	2309	0	1	0
stillgrave_ringbarrows	-2062	2368	0	1	0
stillgrave_ringbarrows	-1538	2368	0	1	0
stillgrave_ringbarrows	-2121	2462	0	1	0
stillgrave_ringbarrows	-1479	2462	0	1	0
stillgrave_ringbarrows	-2130	2519	0	1	0
stillgrave_ringbarrows	-1470	2519	0	1	0
stillgrave_ringbarrows	-2130	2521	0	1	0
stillgrave_ringbarrows	-1470	2521	0	1	0
stillgrave_ringbarrows	-2121	2578	0	1	0
stillgrave_ringbarrows	-1479	2578	0	1	0
stillgrave_ringbarrows	-2062	2672	0	1	0
stillgrave_ringbarrows	-1538	2672	0	1	0
stillgrave_ringbarrows	-1977	2731	0	1	0
stillgrave_ringbarrows	-1623	2731	0	1	0
stillgrave_ringbarrows	-1851	2767	0	1	0
stillgrave_ringbarrows	-1749	2767	0	1	0
stillgrave_ringbarrows	-1802	2770	0	1	0
stillgrave_ringbarrows	-1801	2770	0	1	0
stillgrave_ringbarrows	-1799	2770	0	1	0
stillgrave_ringbarrows	-1798	2770	0	1	0
ossuary_gravewoods	-2321	1610	0	1	0
