11915375316930455185	zone_face:kragmar_mournfen	appendix_stations=0 pinch_stations=1
12703287191159130335	zone_face:kragmar_stillgrave_hollow	appendix_stations=0 pinch_stations=1
12750799011628276768	zone_face:kragmar_redtusk_savanna	appendix_stations=0 pinch_stations=1
14492179264685311323	zone_face:kragmar_stillgrave_hollow	appendix_stations=0 pinch_stations=1
15005883080755756979	zone_face:kragmar_mournfen	appendix_stations=0 pinch_stations=1
17801611240355512195	zone_face:kragmar_stillgrave_hollow	appendix_stations=0 pinch_stations=1
2446222297438899083	zone_face:kragmar_stillgrave_hollow	appendix_stations=0 pinch_stations=1
3253762158045475787	zone_face:kragmar_redtusk_savanna	appendix_stations=0 pinch_stations=1
393974043703439009	zone_face:kragmar_stillgrave_hollow	appendix_stations=0 pinch_stations=1
4134694703145660815	zone_face:kragmar_mournfen	appendix_stations=0 pinch_stations=1
425890877909919545	zone_face:kragmar_redtusk_savanna	appendix_stations=0 pinch_stations=1
4454431421274333176	zone_face:kragmar_stillgrave_hollow	appendix_stations=0 pinch_stations=1
6716966456885196819	zone_face:elandor_silverleaf_glades	appendix_stations=0 pinch_stations=1
6762100208957449689	zone_face:kragmar_stillgrave_hollow	appendix_stations=0 pinch_stations=1
6911358052584777615	zone_face:kragmar_stillgrave_hollow	appendix_stations=0 pinch_stations=1
7192380004566483399	zone_face:kragmar_mournfen	appendix_stations=0 pinch_stations=1
8177258333808107020	zone_face:kragmar_redtusk_savanna	appendix_stations=0 pinch_stations=1
8268116523828631117	zone_face:kragmar_mournfen	appendix_stations=0 pinch_stations=1
8611809224943337558	zone_face:kragmar_mournfen	appendix_stations=0 pinch_stations=1
8701880475527531552	zone_face:kragmar_redtusk_savanna	appendix_stations=0 pinch_stations=1
9341733554550670754	zone_face:kragmar_mournfen	appendix_stations=0 pinch_stations=1
