id	buildings	host	sha256
anchor_014	5	true	5082e1a15437ff305ec0391ae2308c21471f79492d2df01f9fc890b8c12d6932
anchor_016	5	true	435c5f438326dfc9cfa2db12952bd721c0b41076929bc5f7ecb806f82b77ed1c
anchor_018	4	true	2b83374fd48a3eaf6ca9087945246c39a1467fb4273d58519b3afeaea221ae06
anchor_020	4	true	4621a02254f053dbae047a3a087a5d25731062865c6ef67e1be1ae95b2aa02f9
anchor_022	5	true	859e8c80129a61cfbd8630d92f530924b1afb964b6abade65fa2e59699479949
anchor_024	5	true	037e5c5b3091687ba29a52b74e00e6ea5741f7d839315b2222f51e514469abcf
anchor_026	2	true	a374a82616d2bd3898946afeee8b298fc05fd7f72e5c3fd2e0e2b08a57cb28ca
anchor_027	2	true	5545dd9ddaf977dea94388462352d909b995a444e9bfc84679a57a09349c8647
anchor_028	2	true	e7419625bd5ae6e6954c8bea10db1485310f3ef52a31f4206370031d75b7bc3b
anchor_030	3	true	1cdb6603da2bd8e901cf8dc0e49c1783388114fbb68ae277eff4b6706d16ae79
anchor_031	2	true	a4fd3ea838d76905c0b87f88693858c1fa16770d13839a8e0429799fc25a248a
anchor_032	2	true	67da9ac0609d2aef381bd38134f51bb736e6ef3e005fe982330b8a7ee224c3c4
anchor_034	2	true	0728a32d79255a693dfee91fb051c88102ab66c1baa0fb9321cbfd77b52d6107
anchor_035	2	true	8f33438e76d238ce1d91b78eddc01d4067ef6404e98d7b8a57f992b33e66c6d1
anchor_036	2	true	355ebe00060fa3ce01c8949ceeddd00e7a1f084d4949a451c1b520dbbc50baa1
anchor_038	2	true	6f8b8caa7f4801455ab63ab5b8e3389340eee792f247db0ae972f9e9819e8314
anchor_039	2	true	c4b959783abffe13c7163bb69fc0c01143d0632aaaa509b7944e0e20d76d462b
anchor_040	2	true	c2c34a67d662a88273b65db9d98ddafa709f731ad4fea97e3f63c52e93290406
anchor_042	2	true	3d6fe9cf92e8c57edf6588c1628ab1590e998d11535c24b2c5770b5cda5afae3
anchor_043	2	true	8c155340af3624a47fd311007a8bc767484e26335a2e4c2d33ebe5707c1d192a
