line	p	lane	x	z	terrain_y	water
west	-264	-3	-259	-264	76	false
west	-264	-2	-258	-264	76	false
west	-264	-1	-257	-264	76	false
west	-264	0	-256	-264	76	false
west	-264	1	-255	-264	76	false
west	-264	2	-254	-264	76	false
west	-264	3	-253	-264	76	false
west	-263	-3	-259	-263	76	false
west	-263	-2	-258	-263	76	false
west	-263	-1	-257	-263	76	false
west	-263	0	-256	-263	76	false
west	-263	1	-255	-263	76	false
west	-263	2	-254	-263	76	false
west	-263	3	-253	-263	76	false
west	-262	-3	-259	-262	76	false
west	-262	-2	-258	-262	76	false
west	-262	-1	-257	-262	76	false
west	-262	0	-256	-262	76	false
west	-262	1	-255	-262	76	false
west	-262	2	-254	-262	76	false
west	-262	3	-253	-262	76	false
west	-261	-3	-259	-261	76	false
west	-261	-2	-258	-261	76	false
west	-261	-1	-257	-261	76	false
west	-261	0	-256	-261	76	false
west	-261	1	-255	-261	76	false
west	-261	2	-254	-261	76	false
west	-261	3	-253	-261	76	false
west	-260	-3	-259	-260	76	false
west	-260	-2	-258	-260	76	false
west	-260	-1	-257	-260	76	false
west	-260	0	-256	-260	76	false
west	-260	1	-255	-260	76	false
west	-260	2	-254	-260	76	false
west	-260	3	-253	-260	76	false
west	-259	-3	-259	-259	76	false
west	-259	-2	-258	-259	76	false
west	-259	-1	-257	-259	76	false
west	-259	0	-256	-259	76	false
west	-259	1	-255	-259	76	false
west	-259	2	-254	-259	76	false
west	-259	3	-253	-259	76	false
west	-258	-3	-259	-258	76	false
west	-258	-2	-258	-258	76	false
west	-258	-1	-257	-258	76	false
west	-258	0	-256	-258	76	false
west	-258	1	-255	-258	76	false
west	-258	2	-254	-258	76	false
west	-258	3	-253	-258	76	false
west	-257	-3	-259	-257	76	false
west	-257	-2	-258	-257	76	false
west	-257	-1	-257	-257	76	false
west	-257	0	-256	-257	76	false
west	-257	1	-255	-257	76	false
west	-257	2	-254	-257	76	false
west	-257	3	-253	-257	76	false
west	-256	-3	-259	-256	76	false
west	-256	-2	-258	-256	76	false
west	-256	-1	-257	-256	76	false
west	-256	0	-256	-256	76	false
west	-256	1	-255	-256	76	false
west	-256	2	-254	-256	76	false
west	-256	3	-253	-256	76	false
west	-255	-3	-259	-255	76	false
west	-255	-2	-258	-255	76	false
west	-255	-1	-257	-255	76	false
west	-255	0	-256	-255	76	false
west	-255	1	-255	-255	76	false
west	-255	2	-254	-255	76	false
west	-255	3	-253	-255	76	false
west	-254	-3	-259	-254	76	false
west	-254	-2	-258	-254	76	false
west	-254	-1	-257	-254	76	false
west	-254	0	-256	-254	76	false
west	-254	1	-255	-254	76	false
west	-254	2	-254	-254	76	false
west	-254	3	-253	-254	76	false
west	-253	-3	-259	-253	76	false
west	-253	-2	-258	-253	76	false
west	-253	-1	-257	-253	76	false
west	-253	0	-256	-253	76	false
west	-253	1	-255	-253	76	false
west	-253	2	-254	-253	76	false
west	-253	3	-253	-253	76	false
west	-252	-3	-259	-252	76	false
west	-252	-2	-258	-252	76	false
west	-252	-1	-257	-252	76	false
west	-252	0	-256	-252	76	false
west	-252	1	-255	-252	76	false
west	-252	2	-254	-252	76	false
west	-252	3	-253	-252	76	false
west	-251	-3	-259	-251	76	false
west	-251	-2	-258	-251	76	false
west	-251	-1	-257	-251	76	false
west	-251	0	-256	-251	76	false
west	-251	1	-255	-251	76	false
west	-251	2	-254	-251	76	false
west	-251	3	-253	-251	76	false
west	-250	-3	-259	-250	76	false
west	-250	-2	-258	-250	76	false
west	-250	-1	-257	-250	76	false
west	-250	0	-256	-250	76	false
west	-250	1	-255	-250	76	false
west	-250	2	-254	-250	76	false
west	-250	3	-253	-250	76	false
west	-249	-3	-259	-249	76	false
west	-249	-2	-258	-249	76	false
west	-249	-1	-257	-249	76	false
west	-249	0	-256	-249	76	false
west	-249	1	-255	-249	76	false
west	-249	2	-254	-249	76	false
west	-249	3	-253	-249	76	false
west	-248	-3	-259	-248	76	false
west	-248	-2	-258	-248	76	false
west	-248	-1	-257	-248	76	false
west	-248	0	-256	-248	76	false
west	-248	1	-255	-248	76	false
west	-248	2	-254	-248	76	false
west	-248	3	-253	-248	76	false
west	-247	-3	-259	-247	76	false
west	-247	-2	-258	-247	76	false
west	-247	-1	-257	-247	80	false
west	-247	0	-256	-247	80	false
west	-247	1	-255	-247	80	false
west	-247	2	-254	-247	80	false
west	-247	3	-253	-247	80	false
west	-246	-3	-259	-246	80	false
west	-246	-2	-258	-246	80	false
west	-246	-1	-257	-246	80	false
west	-246	0	-256	-246	80	false
west	-246	1	-255	-246	80	false
west	-246	2	-254	-246	80	false
west	-246	3	-253	-246	80	false
west	-245	-3	-259	-245	80	false
west	-245	-2	-258	-245	80	false
west	-245	-1	-257	-245	80	false
west	-245	0	-256	-245	80	false
west	-245	1	-255	-245	80	false
west	-245	2	-254	-245	80	false
west	-245	3	-253	-245	80	false
west	-244	-3	-259	-244	80	false
west	-244	-2	-258	-244	80	false
west	-244	-1	-257	-244	80	false
west	-244	0	-256	-244	80	false
west	-244	1	-255	-244	80	false
west	-244	2	-254	-244	80	false
west	-244	3	-253	-244	80	false
west	-243	-3	-259	-243	80	false
west	-243	-2	-258	-243	80	false
west	-243	-1	-257	-243	80	false
west	-243	0	-256	-243	80	false
west	-243	1	-255	-243	80	false
west	-243	2	-254	-243	80	false
west	-243	3	-253	-243	80	false
west	-242	-3	-259	-242	80	false
west	-242	-2	-258	-242	80	false
west	-242	-1	-257	-242	80	false
west	-242	0	-256	-242	80	false
west	-242	1	-255	-242	80	false
west	-242	2	-254	-242	80	false
west	-242	3	-253	-242	80	false
west	-241	-3	-259	-241	80	false
west	-241	-2	-258	-241	80	false
west	-241	-1	-257	-241	80	false
west	-241	0	-256	-241	80	false
west	-241	1	-255	-241	80	false
west	-241	2	-254	-241	80	false
west	-241	3	-253	-241	80	false
west	-240	-3	-259	-240	80	false
west	-240	-2	-258	-240	80	false
west	-240	-1	-257	-240	80	false
west	-240	0	-256	-240	80	false
west	-240	1	-255	-240	80	false
west	-240	2	-254	-240	80	false
west	-240	3	-253	-240	80	false
west	-239	-3	-259	-239	80	false
west	-239	-2	-258	-239	80	false
west	-239	-1	-257	-239	80	false
west	-239	0	-256	-239	80	false
west	-239	1	-255	-239	80	false
west	-239	2	-254	-239	80	false
west	-239	3	-253	-239	80	false
west	-238	-3	-259	-238	80	false
west	-238	-2	-258	-238	80	false
west	-238	-1	-257	-238	80	false
west	-238	0	-256	-238	80	false
west	-238	1	-255	-238	80	false
west	-238	2	-254	-238	80	false
west	-238	3	-253	-238	80	false
west	-237	-3	-259	-237	80	false
west	-237	-2	-258	-237	80	false
west	-237	-1	-257	-237	80	false
west	-237	0	-256	-237	80	false
west	-237	1	-255	-237	80	false
west	-237	2	-254	-237	80	false
west	-237	3	-253	-237	80	false
west	-236	-3	-259	-236	80	false
west	-236	-2	-258	-236	80	false
west	-236	-1	-257	-236	80	false
west	-236	0	-256	-236	80	false
west	-236	1	-255	-236	80	false
west	-236	2	-254	-236	80	false
west	-236	3	-253	-236	80	false
west	-235	-3	-259	-235	80	false
west	-235	-2	-258	-235	80	false
west	-235	-1	-257	-235	80	false
west	-235	0	-256	-235	80	false
west	-235	1	-255	-235	80	false
west	-235	2	-254	-235	84	false
west	-235	3	-253	-235	84	false
west	-234	-3	-259	-234	80	false
west	-234	-2	-258	-234	80	false
west	-234	-1	-257	-234	80	false
west	-234	0	-256	-234	80	false
west	-234	1	-255	-234	84	false
west	-234	2	-254	-234	84	false
west	-234	3	-253	-234	84	false
west	-233	-3	-259	-233	80	false
west	-233	-2	-258	-233	80	false
west	-233	-1	-257	-233	80	false
west	-233	0	-256	-233	80	false
west	-233	1	-255	-233	84	false
west	-233	2	-254	-233	84	false
west	-233	3	-253	-233	84	false
west	-232	-3	-259	-232	80	false
west	-232	-2	-258	-232	80	false
west	-232	-1	-257	-232	80	false
west	-232	0	-256	-232	84	false
west	-232	1	-255	-232	84	false
west	-232	2	-254	-232	84	false
west	-232	3	-253	-232	84	false
west	-231	-3	-259	-231	80	false
west	-231	-2	-258	-231	80	false
west	-231	-1	-257	-231	80	false
west	-231	0	-256	-231	84	false
west	-231	1	-255	-231	84	false
west	-231	2	-254	-231	84	false
west	-231	3	-253	-231	84	false
west	-230	-3	-259	-230	80	false
west	-230	-2	-258	-230	80	false
west	-230	-1	-257	-230	80	false
west	-230	0	-256	-230	84	false
west	-230	1	-255	-230	84	false
west	-230	2	-254	-230	84	false
west	-230	3	-253	-230	84	false
west	-229	-3	-259	-229	80	false
west	-229	-2	-258	-229	80	false
west	-229	-1	-257	-229	80	false
west	-229	0	-256	-229	84	false
west	-229	1	-255	-229	84	false
west	-229	2	-254	-229	84	false
west	-229	3	-253	-229	84	false
west	-228	-3	-259	-228	80	false
west	-228	-2	-258	-228	80	false
west	-228	-1	-257	-228	80	false
west	-228	0	-256	-228	84	false
west	-228	1	-255	-228	84	false
west	-228	2	-254	-228	84	false
west	-228	3	-253	-228	84	false
west	-227	-3	-259	-227	80	false
west	-227	-2	-258	-227	80	false
west	-227	-1	-257	-227	80	false
west	-227	0	-256	-227	84	false
west	-227	1	-255	-227	84	false
west	-227	2	-254	-227	84	false
west	-227	3	-253	-227	84	false
west	-226	-3	-259	-226	80	false
west	-226	-2	-258	-226	80	false
west	-226	-1	-257	-226	80	false
west	-226	0	-256	-226	84	false
west	-226	1	-255	-226	84	false
west	-226	2	-254	-226	84	false
west	-226	3	-253	-226	84	false
west	-225	-3	-259	-225	80	false
west	-225	-2	-258	-225	80	false
west	-225	-1	-257	-225	80	false
west	-225	0	-256	-225	84	false
west	-225	1	-255	-225	84	false
west	-225	2	-254	-225	84	false
west	-225	3	-253	-225	84	false
west	-224	-3	-259	-224	80	false
west	-224	-2	-258	-224	80	false
west	-224	-1	-257	-224	80	false
west	-224	0	-256	-224	84	false
west	-224	1	-255	-224	84	false
west	-224	2	-254	-224	84	false
west	-224	3	-253	-224	84	false
west	-223	-3	-259	-223	80	false
west	-223	-2	-258	-223	80	false
west	-223	-1	-257	-223	80	false
west	-223	0	-256	-223	84	false
west	-223	1	-255	-223	84	false
west	-223	2	-254	-223	84	false
west	-223	3	-253	-223	84	false
west	-222	-3	-259	-222	80	false
west	-222	-2	-258	-222	80	false
west	-222	-1	-257	-222	80	false
west	-222	0	-256	-222	84	false
west	-222	1	-255	-222	84	false
west	-222	2	-254	-222	84	false
