x	z	terrain_y	water
-288	-288	93	false
-284	-288	93	false
-280	-288	93	false
-276	-288	93	false
-272	-288	93	false
-268	-288	93	false
-264	-288	93	false
-260	-288	93	false
-256	-288	93	false
-252	-288	93	false
-248	-288	93	false
-244	-288	93	false
-240	-288	93	false
-236	-288	93	false
-232	-288	93	false
-228	-288	93	false
-224	-288	93	false
-220	-288	93	false
-216	-288	93	false
-212	-288	93	false
-208	-288	93	false
-204	-288	93	false
-200	-288	93	false
-196	-288	97	false
-192	-288	97	false
-188	-288	97	false
-184	-288	97	false
-180	-288	97	false
-176	-288	97	false
-172	-288	97	false
-168	-288	97	false
-164	-288	97	false
-160	-288	97	false
-156	-288	97	false
-152	-288	97	false
-148	-288	101	false
-144	-288	101	false
-140	-288	101	false
-136	-288	105	false
-132	-288	105	false
-128	-288	105	false
-124	-288	105	false
-120	-288	105	false
-116	-288	105	false
-112	-288	105	false
-108	-288	105	false
-104	-288	105	false
-100	-288	101	false
-96	-288	101	false
-92	-288	101	false
-88	-288	101	false
-84	-288	97	false
-80	-288	97	false
-76	-288	97	false
-72	-288	97	false
-68	-288	93	false
-64	-288	93	false
-60	-288	93	false
-56	-288	93	false
-52	-288	93	false
-48	-288	93	false
-44	-288	97	false
-40	-288	97	false
-36	-288	97	false
-32	-288	101	false
-28	-288	101	false
-24	-288	105	false
-20	-288	105	false
-16	-288	105	false
-12	-288	105	false
-8	-288	105	false
-4	-288	105	false
0	-288	105	false
4	-288	105	false
8	-288	105	false
12	-288	105	false
16	-288	105	false
20	-288	105	false
24	-288	105	false
28	-288	105	false
32	-288	105	false
36	-288	105	false
40	-288	105	false
44	-288	105	false
48	-288	101	false
52	-288	101	false
56	-288	101	false
60	-288	101	false
64	-288	97	false
68	-288	97	false
72	-288	97	false
76	-288	97	false
80	-288	97	false
84	-288	97	false
88	-288	101	false
92	-288	101	false
96	-288	101	false
100	-288	101	false
104	-288	101	false
108	-288	101	false
112	-288	101	false
116	-288	101	false
120	-288	101	false
124	-288	101	false
128	-288	101	false
132	-288	97	false
136	-288	97	false
140	-288	101	false
144	-288	101	false
148	-288	101	false
152	-288	101	false
156	-288	105	false
160	-288	105	false
164	-288	105	false
168	-288	105	false
172	-288	105	false
176	-288	105	false
180	-288	105	false
184	-288	105	false
188	-288	105	false
192	-288	105	false
196	-288	101	false
200	-288	101	false
204	-288	101	false
208	-288	101	false
212	-288	105	false
216	-288	105	false
220	-288	105	false
224	-288	105	false
228	-288	105	false
232	-288	105	false
236	-288	105	false
240	-288	101	false
244	-288	101	false
248	-288	101	false
252	-288	97	false
256	-288	97	false
260	-288	97	false
264	-288	93	false
268	-288	93	false
272	-288	93	false
276	-288	93	false
280	-288	93	false
284	-288	93	false
288	-288	89	false
-288	-284	93	false
-284	-284	93	false
-280	-284	93	false
