schema	grug_wp40_t2_bay_v3_handoff_invariants_v1
kind	path	sha256	detail
s1	mods/MAPGEN/grug_mapgen/wp40/geometry/boundary.lua	cc9ce723956964c6b032c12e75ed092650067aa29250153260d5aee24e73e3f9	unchanged_from_provider
s1	tools/wp40/t2_s1_authority.lua	1a485b1be5e91c54cbe244989487386d53d8ce9324a5fb544dc2c9d94a805bcb	unchanged_from_provider
source	mods/MAPGEN/grug_mapgen/wp40/source/catalog.lua	83dbbfe6ba4afe2fa8f77c20b28a6c4610e791ac2e283fffd2c31207a4ef5ef8	consume_only_unchanged
validator	mods/MAPGEN/grug_mapgen/wp40/validation/t2_source.lua	7d853a01f24f01a6f3568dfe837d933289a7373f6e44b25a546c2cb8d2c96fc8	consume_only_unchanged
pool	tools/wp40/fixtures/t2_extreme_e0/candidates-luajit-v3.tsv	5b5241b35ea036ea08c7128b4900fa578dbe134b28b5cf8a99767290e155e027	4096_candidate_rows;row_bytes_sha256=b08e142a16da23f5b7f07c3ec2e6f894705130d1d72fe409998fb5f028deada3
pool	tools/wp40/fixtures/t2_extreme_e0/manifest-luajit-v3.tsv	c8f6185287e4471b0aac2d71c2cceb62114ece566bdbb2ad9e69c5a1c79e0f77	exact_cover_manifest_unchanged
pool	tools/wp40/fixtures/t2_extreme_e0/conformance_gate_v3.lua	e14f0d90da3a90580cd226a1deec8db544e7e6204141031f6ac4b04755838ddb	winner_roster_unchanged
winner	tools/wp40/fixtures/t2_extreme_e0/selected-puc-v3-slot28.tsv	c0b224906e8cf5192828fadcbcd27ad2fb399aef725ed1f180faddd0e640343b	candidate_index=2192
winner	tools/wp40/fixtures/t2_extreme_e0/selected-puc-v3-slot29.tsv	7194941c77743efde5d859d7f2b99862bd7699cf731d0cb53ad53c44752e3dc4	candidate_index=1713
winner	tools/wp40/fixtures/t2_extreme_e0/selected-puc-v3-slot30.tsv	d8f5b0a9dfdb6173398433ce8c2667a4a01b649dd5de45f640c6281b2ea2fae3	candidate_index=1047
winner	tools/wp40/fixtures/t2_extreme_e0/selected-puc-v3-slot31.tsv	1678e531a6a7b4f17e994059d836a7a7c14710fd7ecf128d7cf7b24a99ba9e53	candidate_index=3438
