kind	lot	kind2	x	z	reach	fall	rise	wet	verdict
kezamba_lot	shore_1	plot	124	-112	13	6	6	0	ok
kezamba_lot	shore_2	plot	156	-112	13	6	8	0	ok
kezamba_lot	shore_3	plot	132	-80	13	6	5	0	ok
kezamba_lot	shore_4	plot	92	-116	13	6	6	0	ok
kezamba_lot	shore_5	plot	128	-156	13	5	7	0	ok
kezamba_lot	shore_6	plot	188	-112	13	5	7	0	ok
kezamba_lot	shore_7	plot	128	-48	13	6	4	0	ok
kezamba_lot	shore_8	plot	160	-148	13	6	6	0	ok
kezamba_lot	shore_9	plot	164	-80	13	6	6	0	ok
kezamba_lot	shore_f1	fill	96	-148	11	4	8	0	ok
kezamba_lot	shore_f2	fill	60	-116	11	3	6	0	ok
kezamba_lot	shore_f3	fill	128	-184	8	4	5	0	ok
kezamba_lot	shore_f4	fill	108	-88	5	3	3	0	ok
kezamba_lot	vine_1	plot	-136	-112	13	6	8	0	ok
kezamba_lot	vine_2	plot	-104	-116	13	6	8	0	ok
kezamba_lot	vine_3	plot	-128	-80	13	6	8	0	ok
kezamba_lot	vine_4	plot	-168	-108	13	5	6	0	ok
kezamba_lot	vine_5	plot	-128	-156	13	6	3	0	ok
kezamba_lot	vine_6	plot	-160	-144	13	6	6	0	ok
kezamba_lot	vine_7	plot	-128	-48	13	5	7	0	ok
kezamba_lot	vine_8	plot	-96	-148	13	5	5	0	ok
kezamba_lot	vine_9	plot	-200	-112	13	4	6	0	ok
kezamba_lot	vine_f1	fill	-72	-116	11	6	5	0	ok
kezamba_lot	vine_f2	fill	-160	-76	11	6	8	0	ok
kezamba_lot	vine_f3	fill	-128	-184	8	5	5	0	ok
kezamba_lot	vine_f4	fill	-84	-84	5	4	3	0	ok
kezamba_lot	canopy_1	plot	-136	112	13	3	5	0	ok
kezamba_lot	canopy_2	plot	-168	112	13	5	7	0	ok
kezamba_lot	canopy_3	plot	-136	80	13	5	5	0	ok
kezamba_lot	canopy_4	plot	-136	144	13	6	3	0	ok
kezamba_lot	canopy_5	plot	-104	116	13	3	6	0	ok
kezamba_lot	canopy_6	plot	-200	112	13	4	8	0	ok
kezamba_lot	canopy_7	plot	-168	80	13	4	6	0	ok
kezamba_lot	canopy_8	plot	-168	144	13	6	8	0	ok
kezamba_lot	canopy_9	plot	-136	48	13	3	6	0	ok
kezamba_lot	canopy_10	plot	-136	176	13	5	7	0	ok
kezamba_lot	canopy_11	plot	-104	148	13	5	5	0	ok
kezamba_lot	canopy_f1	fill	-72	116	11	5	5	0	ok
kezamba_lot	canopy_f2	fill	-200	80	11	3	3	0	ok
kezamba_lot	canopy_f3	fill	-196	140	8	4	7	0	ok
kezamba_lot	canopy_f4	fill	-112	92	5	2	3	0	ok
kezamba_lot	totem_1	plot	32	184	13	6	8	0	ok
kezamba_lot	totem_2	plot	68	184	13	6	8	0	ok
kezamba_lot	totem_3	plot	-32	184	13	6	7	0	ok
kezamba_lot	totem_4	plot	100	180	13	6	4	0	ok
kezamba_lot	totem_5	plot	-64	184	13	6	6	0	ok
kezamba_lot	totem_6	plot	-46	152	13	5	7	0	ok
kezamba_lot	totem_7	plot	-100	184	13	6	6	0	ok
kezamba_lot	totem_f1	fill	32	214	11	6	6	0	ok
kezamba_lot	totem_f2	fill	66	154	11	4	8	0	ok
kezamba_lot	totem_f3	fill	56	210	8	3	4	0	ok
kezamba_lot	totem_f4	fill	32	160	5	3	6	0	ok
kezamba_lots	52	failures	0
kezamba_lots PASS: every authored lot is legal on all 9 seeds
