seed	531802985935182545
construction_seconds	136.316847
path	nodes	max_cut	max_fill	max_step	pins	pin_digest	water_bounds	water_digest
route_001	611	64	36	1	2	834eddad4aa941b2ee3f6ce0b1f7bc76b4817383f462683ad0a958d8d948aced	75	23089275fc4abd82c11945c61de1fb2bae5502e46a7959814c0d946f0002eeef
route_002	551	4	8	1	2	ed9e492b7b34bb3e30239bd926deb6c65792a280ac3f498325fde7d370c46a37	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_003	801	9	55	1	2	aae0b1a4365c3d97f3a31ad7aed31668b2af0367b497d6fb399a95dd1678d8a8	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_004	621	7	10	1	2	683d7c3171e937dde2788293e5f1793e0fbc03db7edb8bc27eeea3ad02d23e09	37	59d77126f81d7727bc77e8c69393a7e5e455ea752c558384e8ac57cd749e2729
route_005	551	6	7	1	2	63de2cec4d835a06d5ebd1444948e52e7b89f77ef80cdc528b8b600fb08785a4	199	4fe845042eacb8c5334a92df11eec861c9b1affad25feb966a4ee52ff0cc916f
route_006	801	2	4	1	2	4b11a4fc472904b483399156a046d095411add143762503d6e37f310cd33ab33	69	f8e98a1d7a877652af2fc0e957a0d9c3d5828268f8c33b2c241ec6261355aa4f
route_007	611	2	63	1	2	b27dc1966f7785b612760940e899888647b78d2429a301ada01b40f2d27b22a4	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_008	551	38	3	1	2	beb4f97304edf97db2058f99b64d3477012feab5d5df3aa29447458b6397d612	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_009	801	8	29	1	2	dfcf3a8f687313adb2d090f2a26d8c82f5f89f9532696247bdbff8e9d4bc1761	65	3b6e2c3500fcf0c9065e25a0d0c5d4975b778513196be3b27dfad0b2ccfa676f
route_010	620	13	16	1	2	f0431713d1eecf370776ccdf36debd621245be027ee90ac1c3dd86514893cfc7	191	fdb0d1efdd22bbac768028b7399046778b1c83bc1d51e4d25f445b3730f08716
route_011	551	3	57	1	2	5beafb5b0a59aa76f7acba635b682c45dad47e374121637c2658690e737cd70b	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_012	801	3	9	1	2	a47ad88be4fb1f5a042a44b79d99ce18c0e80dc90f717509199fd0899ffc2698	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_013	622	1	2	1	2	8fa8de705236dc56f0ae94b290dde7d2f7b494f3dad66202509fbe2453a244c0	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_014	551	3	3	1	2	a7476358029b7e97f76dcaad8088164bb8d5dac85a734384dad60e3de1781e33	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_015	801	3	5	1	2	7a5190145db59ab10b72a306c424cc24b1dbddca1cb6321f3591c8864a7fa181	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_016	620	4	55	1	2	fe13eaf83402db3169741abafb5a9865c531a03be00b2b35f3874b843bae17ca	215	50f53757a3d40e6f388b2da99ddbb8f015ea95d910cf01d75a9d455fe236cbf0
route_017	551	22	33	1	2	5b39b99c14f60c442990e3a4e38edfec2cbb65c10db4c0ed80c77d18732dff99	136	ffd02b9411b22be1e8aebd28d7630e33d343d4eb884f891ffcd25fdc496d1551
route_018	801	3	19	1	2	9792db4758c919790fb19541de878345d3c3d2a9d2e738c6d5aec8bb22fa49f5	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_019	601	15	7	1	2	ac83674483fea96060d413c6ffb254676acf5b8c4fcbc25fade0c01fa0d8dd19	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_020	901	8	3	1	2	3157eb923aab8e70b61910f12f329654aafa00d9c0f070f44ad49fbd5bab5344	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
route_021	901	11	19	1	2	7d1f41c8e39673d405e5490d2250afbd028cbeca7346135efa41c944ec391930	312	e90009de9211aa74a2d1901caeefd86111cb6438243b98ee922686ea5960f7a2
