x	z	y	water	class	kind	feature	neighbor_x	neighbor_z	neighbor_y
1850	1492	55	65	planned_water	land_grade	anchor_012	1849	1492	58
1850	1492	55	65	planned_water	land_grade	anchor_012	1851	1492	58
1850	1492	55	65	planned_water	land_grade	anchor_012	1850	1491	58
1863	1492	55	65	planned_water	land_grade	anchor_012	1862	1492	62
1863	1492	55	65	planned_water	land_grade	anchor_012	1863	1491	63
1864	1492	55	65	planned_water	land_grade	anchor_012	1864	1491	63
1865	1492	55	65	planned_water	land_grade	anchor_012	1865	1491	64
1866	1492	55	65	planned_water	land_grade	anchor_012	1866	1491	64
1839	1493	55	65	planned_water	land_grade	anchor_012	1838	1493	58
1839	1493	55	65	planned_water	land_grade	anchor_012	1839	1492	58
1840	1493	55	65	planned_water	land_grade	anchor_012	1840	1492	58
1841	1493	55	65	planned_water	land_grade	anchor_012	1841	1492	58
1842	1493	55	65	planned_water	land_grade	anchor_012	1842	1492	58
1843	1493	55	65	planned_water	land_grade	anchor_012	1843	1492	58
1844	1493	55	65	planned_water	land_grade	anchor_012	1844	1492	58
1845	1493	55	65	planned_water	land_grade	anchor_012	1845	1492	58
1846	1493	55	65	planned_water	land_grade	anchor_012	1846	1492	58
1847	1493	55	65	planned_water	land_grade	anchor_012	1847	1492	58
1848	1493	55	65	planned_water	land_grade	anchor_012	1848	1492	58
1849	1493	55	65	planned_water	land_grade	anchor_012	1849	1492	58
1851	1493	55	65	planned_water	land_grade	anchor_012	1851	1492	58
1852	1493	54	65	planned_water	land_grade	anchor_012	1852	1492	58
1853	1493	54	65	planned_water	land_grade	anchor_012	1853	1492	58
1854	1493	54	65	planned_water	land_grade	anchor_012	1854	1492	59
1855	1493	54	65	planned_water	land_grade	anchor_012	1855	1492	59
1856	1493	54	65	planned_water	land_grade	anchor_012	1856	1492	59
1857	1493	54	65	planned_water	land_grade	anchor_012	1857	1492	60
1858	1493	54	65	planned_water	land_grade	anchor_012	1858	1492	60
1859	1493	54	65	planned_water	land_grade	anchor_012	1859	1492	60
1860	1493	54	65	planned_water	land_grade	anchor_012	1860	1492	61
1861	1493	55	65	planned_water	land_grade	anchor_012	1861	1492	61
1862	1493	55	65	planned_water	land_grade	anchor_012	1862	1492	62
1834	1494	55	65	planned_water	land_grade	anchor_012	1833	1494	58
1834	1494	55	65	planned_water	land_grade	anchor_012	1834	1493	58
1835	1494	55	65	planned_water	land_grade	anchor_012	1835	1493	58
1836	1494	55	65	planned_water	land_grade	anchor_012	1836	1493	58
1837	1494	55	65	planned_water	land_grade	anchor_012	1837	1493	58
1838	1494	55	65	planned_water	land_grade	anchor_012	1838	1493	58
1831	1495	55	65	planned_water	land_grade	anchor_012	1830	1495	58
1831	1495	55	65	planned_water	land_grade	anchor_012	1831	1494	58
1832	1495	55	65	planned_water	land_grade	anchor_012	1832	1494	58
1833	1495	55	65	planned_water	land_grade	anchor_012	1833	1494	58
1828	1496	55	65	planned_water	land_grade	anchor_012	1827	1496	58
1828	1496	55	65	planned_water	land_grade	anchor_012	1828	1495	58
1829	1496	55	65	planned_water	land_grade	anchor_012	1829	1495	58
1830	1496	55	65	planned_water	land_grade	anchor_012	1830	1495	58
1825	1497	55	65	planned_water	land_grade	anchor_012	1824	1497	58
1825	1497	55	65	planned_water	land_grade	anchor_012	1825	1496	58
1826	1497	55	65	planned_water	land_grade	anchor_012	1826	1496	58
1827	1497	55	65	planned_water	land_grade	anchor_012	1827	1496	58
1823	1498	55	65	planned_water	land_grade	anchor_012	1822	1498	58
1823	1498	55	65	planned_water	land_grade	anchor_012	1823	1497	58
1824	1498	55	65	planned_water	land_grade	anchor_012	1824	1497	58
1820	1499	55	65	planned_water	land_grade	anchor_012	1819	1499	58
1820	1499	55	65	planned_water	land_grade	anchor_012	1820	1498	58
1821	1499	55	65	planned_water	land_grade	anchor_012	1821	1498	58
1822	1499	55	65	planned_water	land_grade	anchor_012	1822	1498	58
1818	1500	55	65	planned_water	land_grade	anchor_012	1817	1500	58
1818	1500	55	65	planned_water	land_grade	anchor_012	1818	1499	58
1819	1500	55	65	planned_water	land_grade	anchor_012	1819	1499	58
1817	1501	54	65	planned_water	land_grade	anchor_012	1816	1501	58
1817	1501	54	65	planned_water	land_grade	anchor_012	1817	1500	58
1816	1502	54	65	planned_water	land_grade	anchor_012	1816	1501	58
1808	1507	54	65	planned_water	land_grade	anchor_012	1807	1507	58
1807	1508	53	65	planned_water	land_grade	anchor_012	1806	1508	58
1807	1508	53	65	planned_water	land_grade	anchor_012	1807	1507	58
1806	1509	53	65	planned_water	land_grade	anchor_012	1805	1509	58
1806	1509	53	65	planned_water	land_grade	anchor_012	1806	1508	58
1804	1510	53	65	planned_water	land_grade	anchor_012	1803	1510	58
1804	1510	53	65	planned_water	land_grade	anchor_012	1804	1509	58
1805	1510	53	65	planned_water	land_grade	anchor_012	1805	1509	58
1803	1511	53	65	planned_water	land_grade	anchor_012	1802	1511	58
1803	1511	53	65	planned_water	land_grade	anchor_012	1803	1510	58
1802	1512	53	65	planned_water	land_grade	anchor_012	1801	1512	58
1802	1512	53	65	planned_water	land_grade	anchor_012	1802	1511	58
1801	1513	53	65	planned_water	land_grade	anchor_012	1800	1513	58
1801	1513	53	65	planned_water	land_grade	anchor_012	1801	1512	58
1800	1514	53	65	planned_water	land_grade	anchor_012	1799	1514	58
1800	1514	53	65	planned_water	land_grade	anchor_012	1800	1513	58
1800	1515	53	65	planned_water	land_grade	anchor_012	1799	1515	58
1799	1516	53	65	planned_water	land_grade	anchor_012	1798	1516	58
1799	1516	53	65	planned_water	land_grade	anchor_012	1799	1515	58
1966	1516	53	65	planned_water	land_grade	anchor_012	1967	1516	64
1798	1517	53	65	planned_water	land_grade	anchor_012	1798	1516	58
1967	1517	53	65	planned_water	land_grade	anchor_012	1968	1517	64
1967	1517	53	65	planned_water	land_grade	anchor_012	1967	1516	64
1968	1518	53	65	planned_water	land_grade	anchor_012	1969	1518	64
1968	1518	53	65	planned_water	land_grade	anchor_012	1968	1517	64
1969	1519	53	65	planned_water	land_grade	anchor_012	1970	1519	61
1969	1519	53	65	planned_water	land_grade	anchor_012	1969	1518	64
1970	1520	53	65	planned_water	land_grade	anchor_012	1971	1520	61
1970	1520	53	65	planned_water	land_grade	anchor_012	1970	1519	61
1970	1521	53	65	planned_water	land_grade	anchor_012	1971	1521	64
1971	1522	53	65	planned_water	land_grade	anchor_012	1972	1522	61
1971	1522	53	65	planned_water	land_grade	anchor_012	1971	1521	64
1972	1523	53	65	planned_water	land_grade	anchor_012	1973	1523	61
1972	1523	53	65	planned_water	land_grade	anchor_012	1972	1522	61
1972	1524	53	65	planned_water	land_grade	anchor_012	1973	1524	61
1973	1525	53	65	planned_water	land_grade	anchor_012	1974	1525	61
1973	1525	53	65	planned_water	land_grade	anchor_012	1973	1524	61
1974	1526	53	65	planned_water	land_grade	anchor_012	1975	1526	61
1974	1526	53	65	planned_water	land_grade	anchor_012	1974	1525	61
1974	1527	53	65	planned_water	land_grade	anchor_012	1975	1527	61
1975	1528	53	65	planned_water	land_grade	anchor_012	1976	1528	61
1975	1528	53	65	planned_water	land_grade	anchor_012	1975	1527	61
1975	1529	53	65	planned_water	land_grade	anchor_012	1976	1529	61
1976	1530	53	65	planned_water	land_grade	anchor_012	1977	1530	61
1976	1530	53	65	planned_water	land_grade	anchor_012	1976	1529	61
1976	1531	53	65	planned_water	land_grade	anchor_012	1977	1531	61
1977	1532	53	65	planned_water	land_grade	anchor_012	1978	1532	61
1977	1532	53	65	planned_water	land_grade	anchor_012	1977	1531	61
1977	1533	53	65	planned_water	land_grade	anchor_012	1978	1533	61
1978	1534	53	65	planned_water	land_grade	anchor_012	1979	1534	61
1978	1534	53	65	planned_water	land_grade	anchor_012	1978	1533	61
1978	1535	53	65	planned_water	land_grade	anchor_012	1979	1535	61
1979	1536	53	65	planned_water	land_grade	anchor_012	1980	1536	61
1979	1536	53	65	planned_water	land_grade	anchor_012	1979	1535	61
1979	1537	53	65	planned_water	land_grade	anchor_012	1980	1537	61
1979	1538	53	65	planned_water	land_grade	anchor_012	1980	1538	61
1980	1539	53	65	planned_water	land_grade	anchor_012	1981	1539	64
1980	1539	53	65	planned_water	land_grade	anchor_012	1980	1538	61
1980	1540	53	65	planned_water	land_grade	anchor_012	1981	1540	64
1981	1541	53	65	planned_water	land_grade	anchor_012	1982	1541	61
1981	1541	53	65	planned_water	land_grade	anchor_012	1981	1540	64
1981	1542	53	65	planned_water	land_grade	anchor_012	1982	1542	64
1983	1552	52	65	planned_water	land_grade	anchor_012	1984	1552	64
1984	1553	52	65	planned_water	land_grade	anchor_012	1985	1553	64
1984	1553	52	65	planned_water	land_grade	anchor_012	1984	1552	64
1984	1554	52	65	planned_water	land_grade	anchor_012	1985	1554	64
1783	1561	53	65	planned_water	land_grade	anchor_012	1782	1561	60
1783	1562	53	65	planned_water	land_grade	anchor_012	1782	1562	61
1783	1563	53	65	planned_water	land_grade	anchor_012	1782	1563	61
1783	1564	53	65	planned_water	land_grade	anchor_012	1782	1564	61
1783	1565	53	65	planned_water	land_grade	anchor_012	1782	1565	62
1782	1566	53	65	planned_water	land_grade	anchor_012	1781	1566	60
