schema	grug_wp40_puc_core_fixture_manifest_v1
selection	seed_corpus=27 compiler=1959553668008863006,2147483648 worker=2147483648,16178445837170081103 merge=0,2147483648,343674299183575008,1959553668008863006,15219119262482319357,16178445837170081103,18446744073709551615 selector=retained_c1_v3_f2_candidates_0_4095_slots_28_31
final_rounds	F1=WP40_FINAL=1_tools/wp40/run_t2_partition.sh_--no-cache_--historical F2=tools/wp40/run_t2_extreme_conformance.sh phase0b_execution=deferred
fixture	micro-v1.txt	f0ae18d2b4c2201a197a5d40852122227e92dede9b41ddb885a83661a021c5d6
fixture	source-v1.txt	4ec101c83c3e3945936d2d365a2013ac5f07742729363681b0b21b2e31a6fb95
fixture	unit-v1.txt	e2af225074738649cd6964770571a9050306a49e4a34cfa2bee1949e3975148e
fixture	optional-load-v1.txt	c87444bfa7810a1d2fa42f99b724c378395201c20586197efbda9352f48e2959
fixture	compiler-pair-v1.txt	bc2de2287cc12f8be42cf45a9002c318541974ac1049a117fc4207c32771de4b
fixture	worker-pair-v1.txt	b4d5476baa8d1f43acf6c6e99c52423c19037129a529b119467c8ec9a568bcd9
fixture	worker-pair-v1.tsv	2eac453bb1f7f0f4fd23693a3bd717b5d4f8ba6f5c0a84342d0b1b01fc86be90
fixture	worker-pair-telemetry-v1.txt	b9fc8cf505a40aaabcb8e15894aba4bd37280a3e5a9775a04a5342bb2a530a39
fixture	worker-pair-gate-v1.tsv	098949e3482dd2d54fa06ac29c4cd4cc5f8fc7f185eb8e055508081ac731e224
fixture	merge-v1.txt	e54ada133eb46ce57bc502c8b09a97f29efb12c292fa2b8dfbda34a82594133e
fixture	merge-v1/census-kat-v6.tsv	03cad76a0b29f61065f2ffb6cee5cac75f4630a26448eb7c6912a9c86ee835e6
fixture_tree_sha256_stream	merge-v1/merge-luajit	a3f977745f3ce8e22e1ea1fc1e73f7b9b5b23897d51838219fc69c0ac8296ff0
fixture_tree_sha256_stream	merge-v1/merge-puc	510ce5e69e1b0c934ce13bcc24b21b1e313e1dd94759d2642f53f00bcfd3190a
compiler_digest	1959553668008863006	6dcd5da40ac730f6ae5973cfc8b8845c03eaac8481dfe15b597aafd30d86c402
compiler_digest	2147483648	36c5ce5a6a67f8f2559eea47751579fe3791e5f9c075cfe1d18076bae4032b77
worker_internal_digest	047d6fefbe937512efda38fd5b8d245e7ac2399e546e215387d3eac54d4666c8
merge_artifacts_digest	fcc5ad01d4366af1269bbbe98415aad2bd596fb82f33625a15b5b4957236b795
