round21-nature-v1
broad	0	40	120	160
edge	-96	-96	-7
edge	-88	-96	-7
edge	-80	-96	-6
edge	-72	-96	-6
edge	-64	-96	-6
edge	-56	-96	-5
edge	-48	-96	-5
edge	-40	-96	-5
edge	-32	-96	-5
edge	-24	-96	-5
edge	-16	-96	-5
edge	-8	-96	-5
edge	0	-96	-5
edge	8	-96	-4
edge	16	-96	-2
edge	24	-96	1
edge	32	-96	3
edge	40	-96	5
edge	48	-96	6
edge	56	-96	5
edge	64	-96	3
edge	72	-96	0
edge	80	-96	-3
edge	88	-96	-5
edge	96	-96	-6
edge	-96	-88	-7
edge	-88	-88	-7
edge	-80	-88	-6
edge	-72	-88	-6
edge	-64	-88	-6
edge	-56	-88	-5
edge	-48	-88	-5
edge	-40	-88	-5
edge	-32	-88	-5
edge	-24	-88	-5
edge	-16	-88	-4
edge	-8	-88	-4
edge	0	-88	-4
edge	8	-88	-3
edge	16	-88	-2
edge	24	-88	1
edge	32	-88	3
edge	40	-88	5
edge	48	-88	5
edge	56	-88	5
edge	64	-88	3
edge	72	-88	0
edge	80	-88	-3
edge	88	-88	-5
edge	96	-88	-5
edge	-96	-80	-7
edge	-88	-80	-7
edge	-80	-80	-6
edge	-72	-80	-6
edge	-64	-80	-5
edge	-56	-80	-5
edge	-48	-80	-5
edge	-40	-80	-5
edge	-32	-80	-4
edge	-24	-80	-3
edge	-16	-80	-3
edge	-8	-80	-2
edge	0	-80	-2
edge	8	-80	-1
edge	16	-80	0
edge	24	-80	1
edge	32	-80	2
edge	40	-80	3
edge	48	-80	4
edge	56	-80	3
edge	64	-80	2
edge	72	-80	0
edge	80	-80	-2
edge	88	-80	-3
edge	96	-80	-4
edge	-96	-72	-6
edge	-88	-72	-6
edge	-80	-72	-6
edge	-72	-72	-6
edge	-64	-72	-5
edge	-56	-72	-5
edge	-48	-72	-5
edge	-40	-72	-5
edge	-32	-72	-3
edge	-24	-72	-2
edge	-16	-72	-1
edge	-8	-72	1
edge	0	-72	1
edge	8	-72	1
edge	16	-72	1
edge	24	-72	2
edge	32	-72	2
edge	40	-72	2
edge	48	-72	2
edge	56	-72	2
edge	64	-72	1
edge	72	-72	0
edge	80	-72	-1
edge	88	-72	-2
edge	96	-72	-2
edge	-96	-64	-6
edge	-88	-64	-6
edge	-80	-64	-6
edge	-72	-64	-6
edge	-64	-64	-5
edge	-56	-64	-5
edge	-48	-64	-5
edge	-40	-64	-4
edge	-32	-64	-3
edge	-24	-64	-1
edge	-16	-64	2
edge	-8	-64	3
edge	0	-64	4
edge	8	-64	4
edge	16	-64	3
edge	24	-64	2
edge	32	-64	1
edge	40	-64	0
edge	48	-64	0
edge	56	-64	0
edge	64	-64	0
edge	72	-64	0
edge	80	-64	0
edge	88	-64	0
edge	96	-64	0
edge	-96	-56	-6
edge	-88	-56	-6
edge	-80	-56	-6
edge	-72	-56	-6
edge	-64	-56	-5
edge	-56	-56	-5
edge	-48	-56	-5
edge	-40	-56	-4
edge	-32	-56	-2
edge	-24	-56	1
edge	-16	-56	3
edge	-8	-56	5
edge	0	-56	6
edge	8	-56	6
edge	16	-56	4
edge	24	-56	2
edge	32	-56	1
edge	40	-56	-1
edge	48	-56	-1
edge	56	-56	-1
edge	64	-56	-1
edge	72	-56	0
edge	80	-56	1
edge	88	-56	1
edge	96	-56	1
edge	-96	-48	-6
edge	-88	-48	-6
edge	-80	-48	-6
edge	-72	-48	-5
edge	-64	-48	-5
edge	-56	-48	-5
edge	-48	-48	-5
edge	-40	-48	-4
edge	-32	-48	-2
edge	-24	-48	1
edge	-16	-48	4
edge	-8	-48	6
edge	0	-48	7
edge	8	-48	6
edge	16	-48	5
edge	24	-48	3
edge	32	-48	0
edge	40	-48	-1
edge	48	-48	-2
edge	56	-48	-2
edge	64	-48	-1
edge	72	-48	0
edge	80	-48	1
edge	88	-48	2
edge	96	-48	2
edge	-96	-40	-5
edge	-88	-40	-5
edge	-80	-40	-5
edge	-72	-40	-5
edge	-64	-40	-5
edge	-56	-40	-5
edge	-48	-40	-5
edge	-40	-40	-4
edge	-32	-40	-2
edge	-24	-40	1
edge	-16	-40	4
edge	-8	-40	6
edge	0	-40	7
edge	8	-40	6
edge	16	-40	5
edge	24	-40	2
edge	32	-40	0
edge	40	-40	-1
edge	48	-40	-2
edge	56	-40	-2
edge	64	-40	-1
edge	72	-40	0
edge	80	-40	1
edge	88	-40	1
edge	96	-40	2
edge	-96	-32	-4
edge	-88	-32	-4
edge	-80	-32	-4
edge	-72	-32	-4
edge	-64	-32	-4
edge	-56	-32	-4
edge	-48	-32	-4
edge	-40	-32	-3
edge	-32	-32	-1
edge	-24	-32	2
edge	-16	-32	4
edge	-8	-32	6
edge	0	-32	7
edge	8	-32	7
edge	16	-32	5
edge	24	-32	2
edge	32	-32	0
edge	40	-32	-2
edge	48	-32	-3
edge	56	-32	-2
edge	64	-32	-2
edge	72	-32	-1
edge	80	-32	0
edge	88	-32	0
edge	96	-32	1
edge	-96	-24	-1
edge	-88	-24	-2
edge	-80	-24	-2
edge	-72	-24	-2
edge	-64	-24	-3
edge	-56	-24	-3
edge	-48	-24	-3
edge	-40	-24	-2
edge	-32	-24	0
edge	-24	-24	2
edge	-16	-24	5
edge	-8	-24	7
edge	0	-24	8
edge	8	-24	7
edge	16	-24	5
edge	24	-24	2
edge	32	-24	0
edge	40	-24	-2
edge	48	-24	-3
edge	56	-24	-3
edge	64	-24	-2
edge	72	-24	-2
edge	80	-24	-1
edge	88	-24	-1
edge	96	-24	0
edge	-96	-16	1
edge	-88	-16	0
edge	-80	-16	0
edge	-72	-16	-1
edge	-64	-16	-1
edge	-56	-16	-2
edge	-48	-16	-2
edge	-40	-16	-1
edge	-32	-16	0
edge	-24	-16	3
edge	-16	-16	5
edge	-8	-16	7
edge	0	-16	8
edge	8	-16	7
edge	16	-16	5
edge	24	-16	2
edge	32	-16	-1
edge	40	-16	-3
edge	48	-16	-3
edge	56	-16	-3
edge	64	-16	-3
edge	72	-16	-3
edge	80	-16	-2
edge	88	-16	-2
edge	96	-16	-2
edge	-96	-8	2
edge	-88	-8	2
edge	-80	-8	1
edge	-72	-8	1
edge	-64	-8	0
edge	-56	-8	-1
edge	-48	-8	-1
edge	-40	-8	-1
edge	-32	-8	1
edge	-24	-8	3
edge	-16	-8	6
edge	-8	-8	7
edge	0	-8	8
edge	8	-8	7
edge	16	-8	5
edge	24	-8	2
edge	32	-8	-1
edge	40	-8	-3
edge	48	-8	-4
edge	56	-8	-4
edge	64	-8	-4
edge	72	-8	-3
edge	80	-8	-3
edge	88	-8	-3
edge	96	-8	-3
edge	-96	0	3
edge	-88	0	3
edge	-80	0	2
edge	-72	0	1
edge	-64	0	0
edge	-56	0	-1
edge	-48	0	-1
edge	-40	0	0
edge	-32	0	1
