capital	plot	service	socket	role	tag	node	entity	x	y	z
gor_drazhak	bazaar_armourer	goldsmith	bazaar_armourer/bazaar_armourer_goldsmith	trainer	goldsmith	air	grug_mobs:villager_orc	-74	96	1615
gor_drazhak	bazaar_armourer	goldsmith	bazaar_armourer/bazaar_armourer_jewel	gear_display	jewel	air	grug_mobs:capital_display	-69	97	1618
gor_drazhak	bazaar_armourer	goldsmith	bazaar_armourer/bazaar_armourer_station	public_station	jewellers_bench	grug_jobs:jewellers_bench	-	-72	96	1617
gor_drazhak	bazaar_carver	woodcarver	bazaar_carver/bazaar_carver_station	public_station	carving_bench	grug_jobs:carving_bench	-	-116	96	1661
gor_drazhak	bazaar_carver	woodcarver	bazaar_carver/bazaar_carver_woodcarver	trainer	woodcarver	air	grug_mobs:villager_orc	-118	96	1659
gor_drazhak	bazaar_smithy	forge	bazaar_smithy/bazaar_smithy_armor	gear_display	armor	air	grug_mobs:capital_display	-113	100	1619
gor_drazhak	bazaar_smithy	forge	bazaar_smithy/bazaar_smithy_armorsmith	trainer	armorsmith	air	grug_mobs:villager_orc	-114	99	1615
gor_drazhak	bazaar_smithy	forge	bazaar_smithy/bazaar_smithy_station	public_station	forge	grug_jobs:forge	-	-116	99	1617
gor_drazhak	bazaar_smithy	forge	bazaar_smithy/bazaar_smithy_weapon	gear_display	weapon	air	grug_mobs:capital_display	-119	100	1619
gor_drazhak	bazaar_smithy	forge	bazaar_smithy/bazaar_smithy_weaponsmith	trainer	weaponsmith	air	grug_mobs:villager_orc	-118	99	1615
gor_drazhak	bazaar_tannery	leatherworker	bazaar_tannery/bazaar_tannery_leatherworker	trainer	leatherworker	air	grug_mobs:villager_orc	-118	99	1571
gor_drazhak	bazaar_tannery	leatherworker	bazaar_tannery/bazaar_tannery_station	public_station	tanning_rack	grug_jobs:tanning_rack	-	-116	99	1573
gor_drazhak	bone_herb_house	alchemist	bone_herb_house/bone_herb_house_alchemist	trainer	alchemist	air	grug_mobs:villager_orc	158	98	1383
gor_drazhak	bone_herb_house	alchemist	bone_herb_house/bone_herb_house_station	public_station	brewing_stand	grug_brewing:brewing_stand	-	160	98	1385
gor_drazhak	war_beast_pen	riding	war_beast_pen/war_beast_pen_mount_1	mount_display	1	air	grug_mobs:capital_display	-121	96	1425
gor_drazhak	war_beast_pen	riding	war_beast_pen/war_beast_pen_mount_2	mount_display	2	air	grug_mobs:capital_display	-111	96	1425
gor_drazhak	war_beast_pen	riding	war_beast_pen/war_beast_pen_mount_3	mount_display	3	air	grug_mobs:capital_display	-121	96	1431
gor_drazhak	war_beast_pen	riding	war_beast_pen/war_beast_pen_mount_4	mount_display	4	air	grug_mobs:capital_display	-111	96	1431
gor_drazhak	war_beast_pen	riding	war_beast_pen/war_beast_pen_riding	riding_trainer		air	grug_mobs:villager_orc	-116	96	1422
gor_drazhak	warren_cook_court	cooking	warren_cook_court/warren_cook_court_cooking	trainer	cooking	air	grug_mobs:villager_orc	70	95	1659
gor_drazhak	warren_cook_court	cooking	warren_cook_court/warren_cook_court_station	public_station	furnace	default:furnace	-	72	95	1661
gor_drazhak	warren_weaver	tailor	warren_weaver/warren_weaver_station	public_station	tailor_bench	grug_jobs:tailor_bench	-	160	95	1573
gor_drazhak	warren_weaver	tailor	warren_weaver/warren_weaver_tailor	trainer	tailor	air	grug_mobs:villager_orc	158	95	1571
