capital	run	columns	spread	step	lane_step	junctions	overlaps	junc_spread	junc_step	raised	raise_max	walled	solid	pillars	wet	piers	rails	lamps	lamps_off	queries
highcourt	avenue_south	214	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	0	1524
highcourt	avenue_north	214	5	1	1	0	0	0	0	22	2	0	0	0	455	0	0	54	10	1524
highcourt	avenue_west	214	1	1	1	0	0	0	0	0	0	0	0	0	303	0	0	54	6	1524
highcourt	avenue_east	214	2	1	1	0	0	0	0	0	0	0	0	0	313	0	0	54	12	1524
highcourt	ring_west	193	2	1	1	0	0	0	0	0	0	0	0	0	437	0	0	50	5	1415
highcourt	ring_east	193	2	1	1	0	0	0	0	0	0	0	0	0	260	0	0	50	7	1415
highcourt	ring_south	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	0	1415
highcourt	ring_north	193	2	1	1	0	0	0	0	0	0	0	0	0	549	0	0	50	6	1415
highcourt	lane_southeast_spine	187	2	1	1	0	0	0	0	0	0	0	0	0	3	0	0	48	15	1383
highcourt	lane_southeast_cross	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	11	1383
highcourt	lane_northeast_spine	223	2	1	1	0	0	0	0	0	0	0	0	0	23	0	0	56	14	1571
highcourt	lane_northeast_cross	247	2	1	1	0	0	0	0	0	0	0	0	0	195	0	0	62	11	1697
highcourt	lane_northwest_spine	195	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	16	1425
highcourt	lane_northwest_cross	247	2	1	1	0	0	0	0	0	0	0	0	0	273	0	0	62	14	1697
highcourt	lane_southwest_spine	201	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	52	11	1457
dur_brannoc	avenue_south	214	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	8	1524
dur_brannoc	avenue_north	214	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	9	1524
dur_brannoc	avenue_west	214	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	16	1524
dur_brannoc	avenue_east	214	2	1	1	0	0	0	0	101	2	0	0	0	0	0	0	54	12	1524
dur_brannoc	ring_west	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	17	1415
dur_brannoc	ring_east	193	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	42	1415
dur_brannoc	ring_south	193	2	1	1	0	0	0	0	2	1	0	0	0	0	0	0	50	15	1415
dur_brannoc	ring_north	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	15	1415
dur_brannoc	lane_southeast_spine	221	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	56	22	1561
dur_brannoc	lane_southeast_cross	221	4	1	1	0	0	0	0	1	1	0	0	0	0	0	0	56	26	1561
dur_brannoc	lane_northeast_spine	221	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	56	12	1561
dur_brannoc	lane_northeast_cross	221	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	56	12	1561
dur_brannoc	lane_northwest_spine	221	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	56	18	1561
dur_brannoc	lane_northwest_cross	221	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	56	25	1561
dur_brannoc	lane_southwest_spine	221	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	56	9	1561
dur_brannoc	lane_southwest_cross	221	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	56	26	1561
gor_drazhak	avenue_south	214	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	0	1524
gor_drazhak	avenue_north	214	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	2	1524
gor_drazhak	avenue_west	214	2	1	1	0	0	0	0	15	2	0	0	0	0	0	0	54	7	1524
gor_drazhak	avenue_east	214	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	9	1524
gor_drazhak	ring_west	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	12	1415
gor_drazhak	ring_east	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	24	1415
gor_drazhak	ring_south	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	7	1415
gor_drazhak	ring_north	193	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	4	1415
gor_drazhak	lane_spine_southeast	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	22	1383
gor_drazhak	lane_cross_southeast	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	26	1383
gor_drazhak	lane_spine_northeast	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	15	1383
gor_drazhak	lane_cross_northeast	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	16	1383
gor_drazhak	lane_spine_northwest	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	16	1383
gor_drazhak	lane_cross_northwest	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	10	1383
gor_drazhak	lane_spine_southwest	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	22	1383
gor_drazhak	lane_cross_southwest	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	11	1383
lethariel	avenue_south	214	2	1	1	0	0	0	0	12	3	1	1	0	0	0	0	54	8	1524
lethariel	avenue_north	240	3	1	1	0	0	0	0	694	2	0	0	0	675	0	0	33	5	1660
lethariel	avenue_west	214	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	54	18	1524
lethariel	avenue_east	214	3	1	1	0	0	0	0	417	3	1	1	0	368	0	0	39	8	1524
lethariel	ring_west	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	15	1415
lethariel	ring_east	193	3	1	1	0	0	0	0	296	1	0	0	0	301	0	0	38	16	1415
lethariel	ring_south	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	5	1415
lethariel	ring_north	193	2	1	1	0	0	0	0	606	1	0	0	0	611	0	0	26	2	1415
lethariel	lane_southeast_spine	191	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	12	1403
lethariel	lane_southeast_cross	191	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	8	1403
lethariel	lane_northeast_shore	233	3	1	1	0	0	0	0	452	1	0	0	0	445	0	0	42	18	1625
lethariel	lane_northwest_spine	191	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	14	1403
lethariel	lane_northwest_cross	191	2	1	1	0	0	0	0	123	1	0	0	0	128	0	0	43	7	1403
lethariel	lane_southwest_spine	191	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	9	1403
lethariel	lane_southwest_cross	191	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	12	1403
kezamba	avenue_south	209	3	1	1	0	0	0	0	320	22	295	295	0	0	0	0	54	28	1499
kezamba	avenue_north	209	2	1	1	0	0	0	0	230	18	141	141	0	467	0	0	54	21	1499
kezamba	avenue_west	209	2	1	1	0	0	0	0	122	17	76	76	0	0	0	0	54	12	1499
kezamba	avenue_east	209	6	1	1	0	0	0	0	189	23	160	160	0	499	0	0	54	17	1499
kezamba	ring_west	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	6	1415
kezamba	ring_east	193	2	1	1	0	0	0	0	193	28	177	177	0	530	0	0	50	11	1415
kezamba	ring_south	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	6	1415
kezamba	ring_north	193	0	1	1	0	0	0	0	130	18	120	120	0	640	0	0	50	6	1415
nhal_veyr	avenue_south	214	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	9	1524
nhal_veyr	avenue_north	214	2	1	1	0	0	0	0	31	4	15	15	0	0	0	0	54	11	1524
nhal_veyr	avenue_west	214	2	1	1	0	0	0	0	2	1	0	0	0	0	0	0	54	7	1524
nhal_veyr	avenue_east	214	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	8	1524
nhal_veyr	ring_west	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	14	1415
nhal_veyr	ring_east	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	23	1415
nhal_veyr	ring_south	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	11	1415
nhal_veyr	ring_north	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	5	1415
nhal_veyr	lane_southeast_spine	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	14	1383
nhal_veyr	lane_southeast_cross	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	21	1383
nhal_veyr	lane_northeast_spine	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	9	1383
nhal_veyr	lane_northeast_cross	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	7	1383
nhal_veyr	lane_northwest_spine	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	15	1383
nhal_veyr	lane_northwest_cross	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	8	1383
nhal_veyr	lane_southwest_spine	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	22	1383
nhal_veyr	lane_southwest_cross	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	16	1383
